Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-01-12,January Movie Canon (in progress),,https://boxd.it/ktR7y,I really wanna figure out this phenomenon lmfao

Position,Name,Year,URL,Description
1,Leap Year,2010,https://boxd.it/1wdC,
2,The Spy Next Door,2010,https://boxd.it/1zyo,
3,The Book of Eli,2010,https://boxd.it/1Dnu,
4,Legion,2010,https://boxd.it/1zVi,
5,Tooth Fairy,2010,https://boxd.it/1zKE,
6,Extraordinary Measures,2010,https://boxd.it/1ru4,
7,Edge of Darkness,2010,https://boxd.it/1SiE,
8,When in Rome,2010,https://boxd.it/1Q5S,
9,Season of the Witch,2011,https://boxd.it/1zJ2,
10,The Dilemma,2011,https://boxd.it/RE8,
11,The Green Hornet,2011,https://boxd.it/10TQ,
12,No Strings Attached,2011,https://boxd.it/YUs,
13,The Mechanic,2011,https://boxd.it/1rtg,
14,The Rite,2011,https://boxd.it/J7q,
15,The Devil Inside,2012,https://boxd.it/2DFU,
16,Joyful Noise,2012,https://boxd.it/6BQ,
17,Contraband,2012,https://boxd.it/2Hj4,
18,Red Tails,2012,https://boxd.it/2oqg,
19,Underworld: Awakening,2012,https://boxd.it/yMs,
20,Man on a Ledge,2012,https://boxd.it/FQm,
21,The Grey,2011,https://boxd.it/2xZE,
22,One for the Money,2012,https://boxd.it/vag,
23,Texas Chainsaw 3D,2013,https://boxd.it/2E7O,
24,A Haunted House,2013,https://boxd.it/4sOU,
25,Gangster Squad,2013,https://boxd.it/2TVa,
26,Broken City,2013,https://boxd.it/3odo,
27,The Last Stand,2013,https://boxd.it/2Eao,
28,Mama,2013,https://boxd.it/4i9s,
29,Movie 43,2013,https://boxd.it/37qK,
30,Hansel & Gretel: Witch Hunters,2013,https://boxd.it/gmw,
31,Parker,2013,https://boxd.it/3Xr6,
32,Paranormal Activity: The Marked Ones,2014,https://boxd.it/6Ie8,
33,The Legend of Hercules,2014,https://boxd.it/5HlA,
34,Ride Along,2014,https://boxd.it/5dqA,
35,Devil's Due,2014,https://boxd.it/2LdY,
36,Jack Ryan: Shadow Recruit,2014,https://boxd.it/4pFq,
37,The Nut Job,2014,https://boxd.it/6IWa,
38,"I, Frankenstein",2014,https://boxd.it/3r40,
39,That Awkward Moment,2014,https://boxd.it/6Ftu,
40,The Woman in Black 2: Angel of Death,2014,https://boxd.it/8Yww,
41,The Wedding Ringer,2015,https://boxd.it/7pEe,
42,Blackhat,2015,https://boxd.it/62Te,
43,Paddington,2014,https://boxd.it/3RKw,
44,Strange Magic,2015,https://boxd.it/9CL2,
45,The Boy Next Door,2015,https://boxd.it/75Wi,
46,Black Sea,2014,https://boxd.it/7dW6,
47,Mortdecai,2015,https://boxd.it/6ioc,
48,Project Almanac,2015,https://boxd.it/6IP4,
