Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-10-17,Janus Films Ranking,,https://boxd.it/iJoai,These guys show up everywhere lmfao. Good for them

Position,Name,Year,URL,Description
1,La Haine,1995,https://boxd.it/2as8,
2,Ikiru,1952,https://boxd.it/251c,
3,Mulholland Drive,2001,https://boxd.it/297o,
4,Hoop Dreams,1994,https://boxd.it/1Opc,
5,High and Low,1963,https://boxd.it/1RSc,
6,Chungking Express,1994,https://boxd.it/1UDa,
7,In the Mood for Love,2000,https://boxd.it/29tE,
8,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,
9,Yi Yi,2000,https://boxd.it/1vCw,
10,Drive My Car,2021,https://boxd.it/sv94,
11,Scenes from a Marriage,1973,https://boxd.it/rx6u,
12,House,1977,https://boxd.it/1vsm,
13,Police Story,1985,https://boxd.it/1Zhe,
14,Shame,1968,https://boxd.it/1tZo,
15,The 400 Blows,1959,https://boxd.it/2b1C,
16,Stalker,1979,https://boxd.it/28PO,
17,My Dinner with Andre,1981,https://boxd.it/1vLe,
18,Where Is the Friend's House?,1987,https://boxd.it/ELg,
19,Bicycle Thieves,1948,https://boxd.it/23hW,
20,George Washington,2000,https://boxd.it/1HdI,
21,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,
22,The Ascent,1977,https://boxd.it/Eew,
23,"Paris, Texas",1984,https://boxd.it/29Ts,
24,Persona,1966,https://boxd.it/29B4,
25,Happy Together,1997,https://boxd.it/1Ha0,
26,Black Girl,1966,https://boxd.it/3jIQ,
27,Time Bandits,1981,https://boxd.it/19KI,
28,Faya Dayi,2021,https://boxd.it/tbk4,
29,Red Beard,1965,https://boxd.it/251m,
30,Häxan,1922,https://boxd.it/n4O,
31,Inland Empire,2006,https://boxd.it/28d6,
32,Je Tu Il Elle,1974,https://boxd.it/3gWK,
33,Paris Is Burning,1990,https://boxd.it/1jzg,
34,Tokyo Story,1953,https://boxd.it/1HuY,
35,Three Colours: White,1994,https://boxd.it/2b7A,
36,Eraserhead,1977,https://boxd.it/299u,
37,Beau Travail,1999,https://boxd.it/1NI8,
38,The Bitter Tears of Petra von Kant,1972,https://boxd.it/1WzE,
39,Fantastic Planet,1973,https://boxd.it/1KnQ,
40,Irma Vep,1996,https://boxd.it/1vYs,
41,Rashomon,1950,https://boxd.it/2a9K,
42,Mysterious Object at Noon,2000,https://boxd.it/3gqu,
43,Godzilla,1954,https://boxd.it/28kc,
44,Safety Last!,1923,https://boxd.it/1AkW,
45,Cries and Whispers,1972,https://boxd.it/1WK8,
46,Wings of Desire,1987,https://boxd.it/2b26,
47,Ordet,1955,https://boxd.it/Jiy,
48,The Kid,1921,https://boxd.it/1X5U,
49,The Double Life of Véronique,1991,https://boxd.it/28va,
50,Three Colours: Blue,1993,https://boxd.it/2b7K,
51,Pickpocket,1959,https://boxd.it/29O8,
52,Three Colours: Red,1994,https://boxd.it/2b7q,
53,The Passion of Joan of Arc,1928,https://boxd.it/29DO,
54,Theorem,1968,https://boxd.it/237C,
55,Viridiana,1961,https://boxd.it/24eE,
56,Mystery Train,1989,https://boxd.it/1Ub6,
57,"Rome, Open City",1945,https://boxd.it/2aD6,
58,Lost Highway,1997,https://boxd.it/29Wc,
59,The Firemen's Ball,1967,https://boxd.it/15Yc,
60,Blood Simple,1984,https://boxd.it/1U16,
