Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-10-28,Josh’s 10 All-Timers,,https://boxd.it/pWvHC,"If I were to vote in Sight and Sound, these would be my 10 picks. Very subject to change."

Position,Name,Year,URL,Description
1,Akira,1988,https://boxd.it/2b1i,
2,City of God,2002,https://boxd.it/2a2a,
3,Ikiru,1952,https://boxd.it/251c,
4,Pan's Labyrinth,2006,https://boxd.it/28No,
5,Parasite,2019,https://boxd.it/hTha,
6,Punch-Drunk Love,2002,https://boxd.it/20E4,
7,Satantango,1994,https://boxd.it/1j9M,
8,Star Wars,1977,https://boxd.it/72s,
9,The Tree of Life,2011,https://boxd.it/1Zu8,
10,Warrendale,1967,https://boxd.it/352G,
