Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-01-28,Korean Cinema [Ranking],rankings,https://boxd.it/b0TCY,I don't remember some of these very well at all and a lot deserve a rewatch.

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,
2,The Handmaiden,2016,https://boxd.it/948A,
3,Oldboy,2003,https://boxd.it/29R2,
4,Decision to Leave,2022,https://boxd.it/qp9e,
5,Memories of Murder,2003,https://boxd.it/1TSo,
6,Joint Security Area,2000,https://boxd.it/26Ja,
7,The World of Us,2016,https://boxd.it/dpeC,
8,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU,
9,The Host,2006,https://boxd.it/28ZY,
10,"The Good, the Bad, the Weird",2008,https://boxd.it/1MSG,
11,Train to Busan,2016,https://boxd.it/dSQU,
12,Mother,2009,https://boxd.it/1m9g,
13,3-Iron,2004,https://boxd.it/28WK,
14,Heaven: To The Land of Happiness,2021,https://boxd.it/lQjK,
15,Peppermint Candy,1999,https://boxd.it/ZQc,
16,Snowpiercer,2013,https://boxd.it/3Icg,
17,Lady Vengeance,2005,https://boxd.it/248G,
18,I Saw the Devil,2010,https://boxd.it/FaK,
19,The Woman Who Ran,2020,https://boxd.it/oEEi,
20,The Road to the Racetrack,1991,https://boxd.it/6sGU,
21,Gull,2020,https://boxd.it/qpci,
22,Lies,1999,https://boxd.it/Qu2,
