Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-06-28,Martin Scorsese Movie Timeline,,https://boxd.it/wC8Pm,Originally created in my Notes app on 1/16/2022

Position,Name,Year,URL,Description
1,The Last Temptation of Christ,1988,https://boxd.it/1ULe,33 AD
2,Silence,2016,https://boxd.it/2cAo,1639-1685
3,Gangs of New York,2002,https://boxd.it/25FG,1862
4,The Age of Innocence,1993,https://boxd.it/1WgM,1870s
5,Killers of the Flower Moon,2023,https://boxd.it/gHp0,1920s
6,The Aviator,2004,https://boxd.it/26BU,1913 - 1947
7,Hugo,2011,https://boxd.it/R08,1931
8,Boxcar Bertha,1972,https://boxd.it/1A58,1930s
9,"New York, New York",1977,https://boxd.it/1Rw6,1945
10,Kundun,1997,https://boxd.it/1XUe,1937 - 1959
11,Raging Bull,1980,https://boxd.it/28yI,1953
12,Shutter Island,2010,https://boxd.it/1U82,1954
13,Cape Fear,1991,https://boxd.it/28vu,1962
14,Who's That Knocking at My Door,1967,https://boxd.it/Wgg,1967
15,GoodFellas,1990,https://boxd.it/29FA,1955 - 1980
16,Mean Streets,1973,https://boxd.it/2aSU,1973
17,Alice Doesn't Live Here Anymore,1974,https://boxd.it/1KIa,1974
18,Taxi Driver,1976,https://boxd.it/2b8y,1976
19,Casino,1995,https://boxd.it/2ads,1973 - 1986
20,The King of Comedy,1982,https://boxd.it/2aJS,1982
21,The Irishman,2019,https://boxd.it/dYOq,1950s - present day
22,After Hours,1985,https://boxd.it/1VfS,1985
23,The Color of Money,1986,https://boxd.it/1SSM,1986
24,The Wolf of Wall Street,2013,https://boxd.it/3C1m,1987 - 2000
25,Bringing Out the Dead,1999,https://boxd.it/1ZZK,1999
26,The Departed,2006,https://boxd.it/28MA,<p>2006</p>
