Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-08-03,Martin Scorsese,rankings,https://boxd.it/7B0JI,"As I've learned about filmmaking, this crazy guy has seemed to have words of wisdom for every single aspect of it. It's not just the quantity either; I genuinely get a lot out of what he says and find him super inspiring. <i>Taxi Driver</i> may be the only thing I've seen from him that I would consider an all-time favorite, but he is incredibly talented of course and I will never not be excited to watch or rewatch any of his movies.


mob flick."

Position,Name,Year,URL,Description
1,Taxi Driver,1976,https://boxd.it/2b8y,
2,GoodFellas,1990,https://boxd.it/29FA,
3,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
4,The Irishman,2019,https://boxd.it/dYOq,
5,Hugo,2011,https://boxd.it/R08,
6,Raging Bull,1980,https://boxd.it/28yI,
7,The Wolf of Wall Street,2013,https://boxd.it/3C1m,
8,Casino,1995,https://boxd.it/2ads,
9,Shutter Island,2010,https://boxd.it/1U82,
10,Mean Streets,1973,https://boxd.it/2aSU,
11,Who's That Knocking at My Door,1967,https://boxd.it/Wgg,
