Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-10-28,Mega 2021 watchlist,,https://boxd.it/dQmx4,Sorted by relative priority

Position,Name,Year,URL,Description
1,Wheel of Fortune and Fantasy,2021,https://boxd.it/tWcm,Rent Google Play
2,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,https://boxd.it/8LnQ,Finish series then Amazon Prime
3,Barb & Star Go to Vista Del Mar,2021,https://boxd.it/lX9M,On Hulu
4,Space Jam: A New Legacy,2021,https://boxd.it/dd9A,On HBO Max - thanks funny youtube man
5,The Souvenir: Part II,2021,https://boxd.it/gXTK,October 29 (theatrical release date)
6,The Beta Test,2021,https://boxd.it/sa0g,November 5 (US release)
7,7 Prisoners,2021,https://boxd.it/txOU,November 11 (internet)
8,Night Raiders,2021,https://boxd.it/tWaA,November 12
9,Prayers for the Stolen,2021,https://boxd.it/oZhu,November 17 (Netflix release)
10,Procession,2021,https://boxd.it/wMAu,November 19 (Netflix release)
11,The Humans,2021,https://boxd.it/lEQM,November 24 (theaters)
12,Try Harder!,2021,https://boxd.it/tbhE,December 3
13,A Hero,2021,https://boxd.it/p2zw,January 7
14,Allen v. Farrow,2021,https://boxd.it/tZaI,Watch any time
15,Army of the Dead,2021,https://boxd.it/ic7S,Watch any time
16,The Auschwitz Report,2021,https://boxd.it/qStM,Watch any time
17,Beckett,2021,https://boxd.it/m1dy,Watch any time
18,Bergman Island,2021,https://boxd.it/h86E,Watch any time
19,Biggie: I Got a Story to Tell,2021,https://boxd.it/tZR8,Watch any time
20,Billie Eilish: The World's a Little Blurry,2021,https://boxd.it/olni,Watch any time
21,Blue Bayou,2021,https://boxd.it/nUwi,Watch any time
22,Boss Level,2021,https://boxd.it/iAkw,Watch any time
23,Copshop,2021,https://boxd.it/rIGe,Watch any time
24,The Crime of the Century,2021,https://boxd.it/v8FM,Watch any time
25,Crisis,2021,https://boxd.it/lkTQ,Watch any time
26,El Planeta,2021,https://boxd.it/tbii,Watch any time
27,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,Watch any time
28,Fear Street: 1994,2021,https://boxd.it/lLBk,Watch any time
29,Fear Street: 1978,2021,https://boxd.it/lLBu,Watch any time
30,Fear Street: 1666,2021,https://boxd.it/lLBE,Watch any time
31,Godzilla vs. Kong,2021,https://boxd.it/e0qK,Watch any time
32,The Guilty,2021,https://boxd.it/kOPW,Watch any time
33,Gunpowder Milkshake,2021,https://boxd.it/l5fQ,Watch any time
34,The Harder They Fall,2021,https://boxd.it/mRCU,Watch any time
35,Hemingway,2021,https://boxd.it/uzKM,Watch any time
36,Homeroom,2021,https://boxd.it/tbh0,Watch any time
37,In the Earth,2021,https://boxd.it/s652,Watch any time
38,In the Same Breath,2021,https://boxd.it/tbgc,Watch any time
39,Jakob's Wife,2021,https://boxd.it/tyte,Watch any time
40,"Josee, the Tiger and the Fish",2020,https://boxd.it/oh1i,Watch any time
41,Kate,2021,https://boxd.it/m2qy,Watch any time
42,kid 90,2021,https://boxd.it/tWT6,Watch any time
43,Language Lessons,2021,https://boxd.it/tVk0,Watch any time
44,Life in a Day 2020,2021,https://boxd.it/r6Nw,Watch any time
45,Limbo,2020,https://boxd.it/khaw,Watch any time
46,LINK CLICK,2021,https://boxd.it/wqyw,Watch any time
47,Loki,2021,https://boxd.it/sbHg,Watch any time
48,Maid,2021,https://boxd.it/x3mk,Watch any time
49,Mainstream,2020,https://boxd.it/kpDc,Watch any time
50,Malcolm & Marie,2021,https://boxd.it/r5cO,Watch any time
51,The Many Saints of Newark,2021,https://boxd.it/j356,Watch any time
52,Mare of Easttown,2021,https://boxd.it/u2h8,Watch any time
53,The Mauritanian,2021,https://boxd.it/nWiM,Watch any time
54,The Medium,2021,https://boxd.it/s0oi,Watch any time
55,Midnight Mass,2021,https://boxd.it/wvVA,Watch any time
56,The Most Beautiful Boy in the World,2021,https://boxd.it/rnpw,Watch any time
57,Move to Heaven,2021,https://boxd.it/viLU,Watch any time
58,Never Gonna Snow Again,2020,https://boxd.it/rdSI,Watch any time
59,Nine Days,2020,https://boxd.it/mqL6,Watch any time
60,No Ordinary Man,2020,https://boxd.it/rk3W,Watch any time
61,The North Water,2021,https://boxd.it/q0nq,Watch any time
62,The Nowhere Inn,2020,https://boxd.it/oigo,Watch any time
63,ODDTAXI,2021,https://boxd.it/vTy4,Watch any time
64,Oxygen,2021,https://boxd.it/gU16,Watch any time
65,Plan B,2021,https://boxd.it/rUMy,Watch any time
66,Pretend It's a City,2021,https://boxd.it/tlWs,Watch any time
67,PG: Psycho Goreman,2020,https://boxd.it/oY2I,Watch any time
68,Q: Into the Storm,2021,https://boxd.it/usBI,Watch any time
69,"Quo Vadis, Aida?",2020,https://boxd.it/riws,Watch any time
70,The Rescue,2021,https://boxd.it/pmto,"Watch any time ???


(missed theatrical run, idk when we'll get a virtual release)"
71,Ride or Die,2021,https://boxd.it/tZk4,Watch any time
72,Rita Moreno: Just a Girl Who Decided to Go for It,2021,https://boxd.it/tbhk,Watch any time
73,Roadrunner: A Film About Anthony Bourdain,2021,https://boxd.it/nRb2,Watch any time
74,The Serpent,2021,https://boxd.it/trMe,Watch any time
75,Sonny Boy,2021,https://boxd.it/vYTQ,Watch any time
76,Sound of Violence,2021,https://boxd.it/sNuO,Watch any time
77,Squid Game,2021,https://boxd.it/x1OG,Watch any time (Netflix)
78,Stillwater,2021,https://boxd.it/mNPq,Watch any time
79,Tiger,2021,https://boxd.it/tvnC,Watch any time
80,The Underground Railroad,2021,https://boxd.it/u9M8,Watch any time
81,Vacation Friends,2021,https://boxd.it/ohEO,Watch any time
82,Val,2021,https://boxd.it/vs5a,Watch any time
83,The Velvet Underground,2021,https://boxd.it/jPXA,Watch any time (Apple TV+)
84,Werewolves Within,2021,https://boxd.it/u8fC,Watch any time
85,The World to Come,2020,https://boxd.it/iiuI,Watch any time
86,Wrath of Man,2021,https://boxd.it/nEia,Watch any time
87,Yakuza Princess,2021,https://boxd.it/oBVU,Watch any time
88,The Year of the Everlasting Storm,2021,https://boxd.it/vniy,Watch any time
89,"All Light, Everywhere",2021,https://boxd.it/l5q0,Needs re-watch
90,Prime Time,2021,https://boxd.it/rYeU,Needs re-watch
91,After Blue (Dirty Paradise),2021,https://boxd.it/ozsw,Unknown date
92,Ahed's Knee,2021,https://boxd.it/oDp2,Unknown date
93,Broken Keys,2021,https://boxd.it/qEum,Unknown date
94,Can't Get You Out of My Head,2021,https://boxd.it/tYaC,Unknown date
95,Catch the Fair One,2021,https://boxd.it/uWMm,Unknown date
96,Compartment No. 6,2021,https://boxd.it/lEty,Unknown date
97,Emergency Declaration,2021,https://boxd.it/nduy,Unknown date
98,Fire in the Mountains,2021,https://boxd.it/tbis,Unknown date
99,Flag Day,2021,https://boxd.it/oF3W,Unknown date
100,Futura,2021,https://boxd.it/vqks,Unknown date
101,The Gravedigger's Wife,2021,https://boxd.it/lDbS,Unknown date
102,Great Freedom,2021,https://boxd.it/vwpe,Unknown date
103,Here Before,2021,https://boxd.it/oVbs,Unknown date
104,Help,2021,https://boxd.it/vaiU,Unknown date
105,Il Buco,2021,https://boxd.it/ozry,Unknown date
106,In Front of Your Face,2021,https://boxd.it/uVbk,Unknown date
107,Inexorable,2021,https://boxd.it/tmZi,Unknown date
108,Întregalde,2021,https://boxd.it/vBVa,Unknown date
109,Introduction,2021,https://boxd.it/tWbo,Unknown date
