Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-21,Movie Poster Collection,,https://boxd.it/jdHG8,"Movies whose posters I own — Alphabetical.

Last updated 2 years ago, incomplete for movies after Guardians 3 until I go home and list everything else. For now, this is just what I remember I've gotten since May 2023.

Also... why the hell do I have so many movie posters bro"

Position,Name,Year,URL,Description
1,80 for Brady,2023,https://boxd.it/zz3e,From Regal Webster Place when I worked there
2,The Adventures of Tintin,2011,https://boxd.it/1Irc,From the initial 2011 release
3,Akira,1988,https://boxd.it/2b1i,Bought online during COVID
4,Anatomy of a Fall,2023,https://boxd.it/yuDE,From a NEON promo event
5,Annette,2021,https://boxd.it/f0RS,"From Gene Siskel Film Center, random poster pack"
6,Anora,2024,https://boxd.it/Egcw,From Cinemark Cantera
7,All of Us Strangers,2023,https://boxd.it/Bz3C,From Cinemark Cantera
8,Babylon,2022,https://boxd.it/mM02,From Galaxy Theaters in Gig Harbor
9,Barbie,2023,https://boxd.it/bCLK,From the Blowout Pre-screener
10,The Batman,2022,https://boxd.it/eDGs,Genuinely forgot I even have a poster for this
11,Bones and All,2022,https://boxd.it/tLd4,From Regal Cantera
12,The Brutalist,2024,https://boxd.it/k4BO,From the Music Box 70mm screening
13,To Chiara,2021,https://boxd.it/vqsm,"From Gene Siskel Film Center, random poster pack"
14,Chico & Rita,2010,https://boxd.it/6O6,"From Gene Siskel Film Center, random poster pack"
15,Cow,2021,https://boxd.it/oCnE,"From Gene Siskel Film Center, random poster pack"
16,Days of Heaven,1978,https://boxd.it/1JRg,From a flea market in Berlin
17,Demonic,2021,https://boxd.it/t4VC,Won at a Music Box pre-screening trivia (before <i>The Cornshukker</i>)
18,The Dinner,2014,https://boxd.it/8SqC,"From Gene Siskel Film Center, random poster pack"
19,Downton Abbey: A New Era,2022,https://boxd.it/uUHk,"From Gene Siskel Film Center, random poster pack"
20,Dream Scenario,2023,https://boxd.it/v2h0,From Cinemark Cantera
21,Dune: Part Two,2024,https://boxd.it/pUfA,From IMAX early screener
22,Encanto,2021,https://boxd.it/kPRu,Also genuinely forgot that I have a poster of this. From Hollywood Palms when I worked there maybe?
23,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,From C2E2
24,Fire of Love,2022,https://boxd.it/yoPY,From Regal Cantera
25,A Good Person,2023,https://boxd.it/u8sw,From Regal Webster Place when I worked there
26,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,Also genuinely forgot I have a poster of this
27,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU,From the initial 2014 release
28,Hotel by the River,2018,https://boxd.it/juVI,"From Gene Siskel Film Center, random poster pack"
29,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,From the IMAX early screener
30,In the Heights,2021,https://boxd.it/gLhu,From Hollywood Palms when I worked there
31,Jane Eyre,2011,https://boxd.it/15rs,"From Gene Siskel Film Center, random poster pack"
32,Kinds of Kindness,2024,https://boxd.it/CWPw,From Cinemark Cantera
33,Lisa Frankenstein,2024,https://boxd.it/ByjY,From Cinemark Cantera (grabbed two so I could give them to two of my friends but it's been well over a year now so I don't think they want it anymore)
34,Mad Max: Fury Road,2015,https://boxd.it/2DjO,Bought online during COVID
35,Marion Bridge,2002,https://boxd.it/1G0o,"From Gene Siskel Film Center, random poster pack"
36,The Matrix,1999,https://boxd.it/2a1m,Also genuinely forgot I have a poster of this... I feel bad too since I love this movie so much
37,Mickey 17,2025,https://boxd.it/q1Dk,From Cinemark Cantera
38,Minari,2020,https://boxd.it/mL9M,From Hollywood Palms when I worked there
39,Nightmare Alley,2021,https://boxd.it/m0HC,"I think just from Kendall 11 when I saw it there, or another local theater"
40,Nobody,2021,https://boxd.it/mLqS,From Hollywood Palms when I worked there
41,Nomadland,2020,https://boxd.it/lnRy,From Hollywood Palms when I worked there
42,Pan's Labyrinth,2006,https://boxd.it/28No,From my sibling
43,Parasite,2019,https://boxd.it/hTha,From a DePaul poster sale
44,Past Lives,2023,https://boxd.it/oNB8,From Regal Cantera
45,Pink Floyd: The Wall,1982,https://boxd.it/1Sxk,Bought this online I think
46,Princess Mononoke,1997,https://boxd.it/2b4w,From C2E2
47,Pulp Fiction,1994,https://boxd.it/29Pq,Bought online during COVID
48,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,From the 2012 IMAX re-release
49,Scream,1996,https://boxd.it/24EC,From my sibling
