Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-05-26,Movies I started watching but didn't finish,,https://boxd.it/gJLek,"Incomplete and based on memory. How far I got and why I stopped in notes.

Watched all the way through eventually:
-- Election (11/2023)"

Position,Name,Year,URL,Description
1,Harold & Kumar Go to White Castle,2004,https://boxd.it/1Ueu,30-40 minutes in<br><br>My dad was showing me this for the first time during COVID but then my mom came home from work and we changed to something else.
2,The Two Popes,2019,https://boxd.it/k8Xk,"20-30 minutes in?

Got bored or got distracted by other things, don't quite remember"
3,Vitalina Varela,2019,https://boxd.it/gMWo,"20 minutes in

Got distracted by other things"
4,The Midnight Sky,2020,https://boxd.it/mK6C,"1 hour in

Got bored"
5,Barking Dogs Never Bite,2000,https://boxd.it/1BLa,"30 minutes in

Wasn't in the right headspace or got distracted by other things"
6,A Ghost Story,2017,https://boxd.it/fb0K,"5 minutes in

Started on the plane and decided I wasn't in the right headspace"
7,Julien Donkey-Boy,1999,https://boxd.it/VNI,30 minutes in<br><br>Got distracted by other things
8,Ip Man,2008,https://boxd.it/1NrQ,"15-30 minutes?

My dad turned it on one night but I was too tired to focus on it"
9,Okja,2017,https://boxd.it/dvXe,"30 minutes in

Started it during a free class one day then forgot about it"
10,The Square,2017,https://boxd.it/e5YW,"1 hour, 15 minutes in

My dad and I were bored out of our minds"
11,Scary Movie,2000,https://boxd.it/24CG,"30 minutes in

Not in the right headspace / too tired"
12,"Fast, Cheap & Out of Control",1997,https://boxd.it/1wp4,"15 minutes in

Got distracted by other things"
13,Funeral Parade of Roses,1969,https://boxd.it/28Cg,"20-30 minutes in

Started it late at night then fell asleep"
14,Moulin Rouge!,2001,https://boxd.it/29wI,"1 hour in

My parents and I got bored of the story and didn't like the soundtrack"
15,Force Majeure,2014,https://boxd.it/7UcA,"1 hour in

ADHD pill wore off and I was tired - I liked what I saw though"
16,Throne of Blood,1957,https://boxd.it/251w,"45 minutes in

ADHD pill wore off and I got distracted by other things - beautiful movie though."
17,Thirst,2009,https://boxd.it/1Aqq,"1 hour in

Started late at night then fell asleep"
18,First Man,2018,https://boxd.it/cPym,"45 minutes in

Started watching this on a time crunch, I either had to go to work or do other things"
19,Piranha,1978,https://boxd.it/1wTI,"15 minutes in

Started it during work then got busy lmfao"
20,Wendell & Wild,2022,https://boxd.it/iwtu,"25 minutes in

Started it on the plane then fell asleep but I did like it"
21,Winnie the Pooh: Blood and Honey,2023,https://boxd.it/B1rg,"15 minutes in

Watched it for a brain switch out of curiosity then decided I wasn't in the mood to finish it. I didn't completely fucking hate it but I wouldn't call it good either"
22,Don't Look Up,2021,https://boxd.it/o0Hc,"10 minutes in

Not the worst thing ever (which I was expecting) even if still not that great. I only put it on out of curiosity while taking a break from homework but I'd honestly have kept going if I had less to do"
