Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-31,Movies I think Izzy would like,,https://boxd.it/ogGPa,Introduce the Izzy in your life to David Lynch

Position,Name,Year,URL,Description
1,Fish Tank,2009,https://boxd.it/1xBg,
2,Red Rocket,2021,https://boxd.it/sGpi,
3,Badlands,1973,https://boxd.it/25Fm,
4,Columbus,2017,https://boxd.it/eCuA,
5,Punch-Drunk Love,2002,https://boxd.it/20E4,
6,Chicken Run,2000,https://boxd.it/20Xg,
7,Mulholland Drive,2001,https://boxd.it/297o,
8,Blue Velvet,1986,https://boxd.it/29BI,
9,Dog Day Afternoon,1975,https://boxd.it/29bg,
10,Titane,2021,https://boxd.it/nlQC,
11,Y Tu Mamá También,2001,https://boxd.it/28QM,
12,A Serious Man,2009,https://boxd.it/1RFW,
13,Petite Maman,2021,https://boxd.it/s6je,
14,Funny Pages,2022,https://boxd.it/lrlm,
15,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
