Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-09-24,Movies I've Watched After Consuming Weed,,https://boxd.it/pk5YQ,"Incomplete list given I hit my dab pen so much first quarter of freshman year, I don't remember exactly what counts and what doesn't.

Movies that I had under the tag not on this list:
- The Living End
- Blood Theatre"

Position,Name,Year,URL,Description
1,Sick,2022,https://boxd.it/vgBI,
2,The Banshees of Inisherin,2022,https://boxd.it/p7XS,
3,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
4,Black Adam,2022,https://boxd.it/fup0,
5,Total Recall,1990,https://boxd.it/29qK,
6,Dope,2015,https://boxd.it/9Tho,
7,Kokomo City,2023,https://boxd.it/E35s,
8,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
9,All Quiet on the Western Front,2022,https://boxd.it/H08,
10,The Fly,1986,https://boxd.it/1YIe,
11,Zombieland,2009,https://boxd.it/1En6,
12,The Evil Dead,1981,https://boxd.it/29Go,
13,RRR,2022,https://boxd.it/ljDs,
14,Clerks,1994,https://boxd.it/2706,
15,Pitch Perfect,2012,https://boxd.it/3OsE,
16,Hard Boiled,1992,https://boxd.it/1T6a,
17,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,
18,Vertigo,1958,https://boxd.it/2apI,
19,I Saw the TV Glow,2024,https://boxd.it/woVe,
20,San Andreas,2015,https://boxd.it/7sUa,
21,Julien Donkey-Boy,1999,https://boxd.it/VNI,
