Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-05-24,Movies I've watched in school ranked,rankings,https://boxd.it/cdhGS,"This isn't an actual ranking since I haven't seen some of these movies in ages, plus it's incomplete since I'm pretty sure there are a few I've forgotten but I did my best.
Grade I watched the movie in in notes"

Position,Name,Year,URL,Description
1,WALL·E,2008,https://boxd.it/1VEo,Watched 5th grade
2,To Kill a Mockingbird,1962,https://boxd.it/2a2E,<p>Watched 8th grade</p>
3,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,Watched 6th grade
4,Edward Scissorhands,1990,https://boxd.it/2aZc,Watched 8th grade
5,Hidden Figures,2016,https://boxd.it/dgS4,Watched 10th grade
6,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68,<p>Watched 8th grade</p>
7,Hercules,1997,https://boxd.it/1SDW,Watched 4th grade
8,Big Hero 6,2014,https://boxd.it/5rje,Watched 5th grade
9,Contagion,2011,https://boxd.it/13rq,Watched 9th grade
10,Invictus,2009,https://boxd.it/1zPk,<p>Watched 7th grade</p>
11,The Polar Express,2004,https://boxd.it/23am,Watched 3rd grade
12,"Waiting for ""Superman""",2010,https://boxd.it/13FM,<p>Watched 10th grade</p>
13,Lord of the Flies,1963,https://boxd.it/1Xqy,Watched 8th grade
14,The Taming of the Shrew,1967,https://boxd.it/1vzs,Watched 6th grade
15,The Outsiders,1983,https://boxd.it/2aPw,Watched 7th grade
16,National Treasure,2004,https://boxd.it/27x0,Watched 11th grade
17,The Sandlot,1993,https://boxd.it/1TDy,Watched 7th grade
18,Flipped,2010,https://boxd.it/Tb8,Watched 6th grade
19,Alice in Wonderland,2010,https://boxd.it/1Spq,Watched in 8th grade
20,Elf,2003,https://boxd.it/1VyK,<p>Watched 7th grade and 8th grade (we had a yearly Christmas party at my middle school and they always played this)</p>
21,Osmosis Jones,2001,https://boxd.it/1RAi,Watched 7th grade
22,The Man in the Iron Mask,1998,https://boxd.it/1YZO,Watched 9th grade
23,Vice,2018,https://boxd.it/fcFY,<p>Watched 10th grade</p>
24,Home,2015,https://boxd.it/6JxA,Watched 7th grade
25,The Sandlot 2,2005,https://boxd.it/1GQu,Watched 7th grade
26,After Jimmy,1996,https://boxd.it/c6A8,Watched 9th grade
27,Happy Feet,2006,https://boxd.it/1XH0,Watched in kindergarten
