Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-12-20,Movies that influenced Unhappy Customer,,https://boxd.it/jEIBM,Alphabetical order

Position,Name,Year,URL,Description
1,The Batman,2022,https://boxd.it/eDGs,"<p>This wasn’t an inspiration I thought of, but my sibling (Quinn) used Riddler as inspiration for their character.</p>"
2,Fargo,1996,https://boxd.it/2aHM,"A very heavy influence all around, especially from the Brainerd murders."
3,Funny Games,1997,https://boxd.it/1WKM,"While writing and storyboarding, I took heavy visual influence from Haneke’s style. Parts of it still shine through (the driving scenes partially mirror the opening scene from this), but given the production circumstances, the visuals of the short ended up mirroring other movies more closely."
4,Funny Pages,2022,https://boxd.it/lrlm,"The piercing scream at the end burned its way into my brain forever, and I wanted to accomplish a similar impact when Rhys gets stabbed."
5,Inland Empire,2006,https://boxd.it/28d6,"While writing the screenplay, the speech pattern of the Customer was inspired by the lady who first talks to Laura Dern about her new role."
6,Jurassic Park,1993,https://boxd.it/2aA2,Rhys and Matt stuck fighting in the car was inspired by the kids in a similar situation with the T-Rex.
7,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,Martin’s motivations helped inspire the Customer.<br>
8,Oldboy,2003,https://boxd.it/29R2,SPOILERS FOR OLDBOY<br>SPOILERS FOR OLDBOY<br>SPOILERS FOR OLDBOY<br><br><br><br>Just one shot — the Customer with blood dripping out of their nose was composed similarly to the shot of Oh Dae-su after he cut his tongue off (blood dripping onto the ground)
9,Parasite,2019,https://boxd.it/hTha,The entire short was first inspired by the final rampage. There’s visual inspiration in the violence.
10,There Will Be Blood,2007,https://boxd.it/20Z2,"I was inspired by the final scene when writing the screenplay, but my inspiration is far less apparent in the final cut."
11,Twin Peaks,1989,https://boxd.it/g8pk,S1 / E3 — the sound mixing to warble the voices in the dream sequence inspired the same with the Customer.
