Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-12,My 10 Favorite Long Movies,showdown:long,https://boxd.it/CKgVM,"My 10 favorite movies (alphabetized) that are 150+ minutes long, for the Letterboxd showdown. Ask me in a week and I'll give you a changed list from this.

Last update - January 11, 2025"

Position,Name,Year,URL,Description
1,Anatomy of a Fall,2023,https://boxd.it/yuDE,
2,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG,
3,Beau Is Afraid,2023,https://boxd.it/u2gE,
4,The Brutalist,2024,https://boxd.it/k4BO,
5,The Godfather,1972,https://boxd.it/2aNK,
6,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
7,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
8,Ran,1985,https://boxd.it/1Tlu,
9,The Seed of the Sacred Fig,2024,https://boxd.it/MKo4,
10,There Will Be Blood,2007,https://boxd.it/20Z2,
