Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-05-28,My 10 Favorites of the 2020s,,https://boxd.it/HoV4U,"Could expand. Continuously subject to change, obviously, but my film analysis brain feels especially sharp right now so I’m confident in this initial <b><i>unranked</i></b> selection (except for #1)

Honorable mentions:
- <i>Anora</i>
- <i>Beau Is Afraid</i>
- <i>The Boy and the Heron</i>
- <i>The Brutalist</i>
- <i>Close</i>
- <i>C'mon C'mon</i>
- <i>The Fabelmans</i>
- <i>The Father</i>
- <i>Guillermo del Toro’s Pinocchio</i>
- <i>Hard Truths
</i>- <i>Hundreds of Beavers</i>
- <i>Killers of the Flower Moon
</i>- <i>Mad God</i>
- <i>Mass</i>
- <i>Never Rarely Sometimes Always</i>
- <i>Oppenheimer</i>
- <i>Petite Maman</i>
- <i>The Seed of the Sacred Fig</i>
- <i>Waiting for the Light to Change</i>"

Position,Name,Year,URL,Description
1,All of Us Strangers,2023,https://boxd.it/Bz3C,
2,Anatomy of a Fall,2023,https://boxd.it/yuDE,
3,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
4,Godland,2022,https://boxd.it/Ag9E,
5,I Saw the TV Glow,2024,https://boxd.it/woVe,
6,Memoir of a Snail,2024,https://boxd.it/EgX8,
7,Memoria,2021,https://boxd.it/iwtE,
8,Minari,2020,https://boxd.it/mL9M,
9,Past Lives,2023,https://boxd.it/oNB8,
10,The Substance,2024,https://boxd.it/zanS,
