Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-11-23,My 2022 Criterion Challenge,,https://boxd.it/e8Lb4,"I utterly failed the 2021 Criterion Challenge not even halfway through the year thanks to ongoing issues with second semester of my school year, then I eventually just lost all motivation. Let's hope the same doesn't happen to me this year, especially not as I start college at the end of summer.

I'm not creating a huge watchlist prior, rather I'll choose from each category each weekend to see what interests me the most based on my mood (a change from last year with the hope that my interest is more consistent)

For the most part my focus is on watching films that I own a physical copy of since my pile of unwatched Blu-Rays is stacking insanely high.

<a href=""https://letterboxd.com/bslaby/list/the-criterion-challenge-2022/"" rel=""nofollow"">Original list here</a>"

Position,Name,Year,URL,Description
1,Saraband,2003,https://boxd.it/rkw,"1. From the year you were born

Note: Watch Scenes From a Marriage prior"
2,Safety Last!,1923,https://boxd.it/1AkW,2. 1920s
3,The Lady Vanishes,1938,https://boxd.it/29ea,3. 1930s
4,Bicycle Thieves,1948,https://boxd.it/23hW,4. 1940s
5,The 400 Blows,1959,https://boxd.it/2b1C,5. 1950s
6,High and Low,1963,https://boxd.it/1RSc,6. 1960s
7,The Ascent,1977,https://boxd.it/Eew,7. 1970s
8,Police Story,1985,https://boxd.it/1Zhe,8. 1980s
9,La Haine,1995,https://boxd.it/2as8,9. 1990s
10,Still Walking,2008,https://boxd.it/1wvm,10. 2000s
11,The Tree of Life,2011,https://boxd.it/1Zu8,11. 2010s
12,The Counterfeiters,2007,https://boxd.it/20MM,12. Genre - War
13,Fantastic Planet,1973,https://boxd.it/1KnQ,13. Genre - Sci-Fi
14,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,14. Genre - Musical/Music Themed
15,The Double Life of Véronique,1991,https://boxd.it/28va,15. A film by a director whose work you haven't seen before
16,Beau Travail,1999,https://boxd.it/1NI8,19. Directed by Claire Denis (moved this out of order because my parents wanted to watch a pride month movie with me)
17,Je Tu Il Elle,1974,https://boxd.it/3gWK,16. Directed by Chantal Akerman
18,The Bitter Tears of Petra von Kant,1972,https://boxd.it/1WzE,17. Directed by Rainer Werner Fassbinder
19,Hiroshima Mon Amour,1959,https://boxd.it/22WY,20. Isabel Sandoval's Top 10
20,Happy Together,1997,https://boxd.it/1Ha0,18. Directed by Wong Kar-wai
21,George Washington,2000,https://boxd.it/1HdI,21. Bill Hader's Top 10
22,Dazed and Confused,1993,https://boxd.it/1Ylk,22. Ana Lily Amirpour’s Top 10
23,Pickpocket,1959,https://boxd.it/29O8,23. Richard Linklater's Top 10
24,Pariah,2011,https://boxd.it/2wWk,24. Made in the United States
25,The Scar,1976,https://boxd.it/GMU,25. Made in Poland
26,Where Is the Friend's House?,1987,https://boxd.it/ELg,26. Made in Iran
27,Cronos,1992,https://boxd.it/1TjS,27. Made in Mexico
28,Black Girl,1966,https://boxd.it/3jIQ,28. Made in Senegal
29,The Firemen's Ball,1967,https://boxd.it/15Yc,29. A film that has an out of print physical release
30,Five Easy Pieces,1970,https://boxd.it/1tww,"30. A film from the ""America Lost and Found: The BBS Story"" collection"
31,Seven Samurai,1954,https://boxd.it/2axi,31. A film with a spine #1-100
32,Three Colours: Blue,1993,https://boxd.it/2b7K,32. A film with a spine #500-600
