Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-01-02,My Criterion Challenge 2023,criterion challenge 2023,https://boxd.it/jY9Bs,"I promise (/j) I will finish it this year. This will be the year I finally finish the criterion challenge!!

<a href=""https://letterboxd.com/benvsthemovies/list/the-criterion-challenge-2023/"">Original list</a> for my own reference...



Jan. 28-29: Made in Portugal
Feb. 4-5: Animals in the Collection
Feb. 11-12: Films To Fall Asleep To
Feb. 18-19: Black Music Films
Feb. 25-26: Black Lives Collection
Mar. 4-5: Heartbreak Heaven: Films to Watch When You’re Questioning Love (<i>Dekalog: Part 6</i> expanded to <i>A Short Film About Love</i>)
Mar. 11-12: Criterion Double Features - Film #1
Mar. 18-19: Criterion Double Features - Film #2
Mar. 25-26: Danny Peary’s “Guide for the Film Fanatic” (<i>Rebecca</i> Blu-Ray)
Apr. 1-2: Sundance Hits
Apr. 8-9: Early Women Filmmakers
Apr. 15-16: Independent American Cinema (<i>Take Out</i> Blu-Ray)
Apr. 22-23: Dysfunctional Families (<i>The Celebration</i> Blu-Ray)
Apr. 29-30: Food on Film
May 6-7: Faith on Film (<i>Dekalog</i>)
May 13-14: Tearjerkers (<i>Secret Sunshine</i> Blu-Ray)
May 20-21: British Realism
May 27-28: Wilco’s Closet Picks
Jun. 3-4: Gaspar Noé’s Closet Picks"

Position,Name,Year,URL,Description
1,To Be or Not to Be,1942,https://boxd.it/2aTy,Week 1 -- Random Number Generator
2,Daughters of Darkness,1971,https://boxd.it/NMs,Week 2 -- Made in Belgium
3,Dragon Inn,1967,https://boxd.it/3xGa,Week 3 -- Made in Taiwan
4,Warrendale,1967,https://boxd.it/352G,Week 4 -- Made in Canada
5,Francisca,1981,https://boxd.it/3IYO,Week 5 -- Made in Portugal
6,Elephant Boy,1937,https://boxd.it/Tpk,Week 6 -- Animals in the Collection
7,Late Spring,1949,https://boxd.it/1DkK,Week 7 -- Films To Fall Asleep To
