Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-02,My Criterion Challenge 2024,,https://boxd.it/rpYrU,"<a href=""https://boxd.it/o60uu"" rel=""nofollow"">Original list</a>!"

Position,Name,Year,URL,Description
1,The Spirit of the Beehive,1973,https://boxd.it/24eY,Week 1 - spine 351 to 450
2,Letter Never Sent,1960,https://boxd.it/2W6u,Week 2 - spine 601 to 700
3,Harakiri,1962,https://boxd.it/1NTU,<p>Week 3 - LB rating of 4.3+</p>
4,On the Waterfront,1954,https://boxd.it/29TC,Week 4 - first Criterion movie in your watchlist
5,Blast of Silence,1961,https://boxd.it/1hVO,Week 5 - newest Criterion movie on my watchlist
6,A Brighter Summer Day,1991,https://boxd.it/1Luy,"<p>Week 6 - longest runtime in your watchlist <br><br>(this wasn’t <i>the</i> longest, but it’s the longest that wasn’t broken down into a miniseries and I owned the Blu-Ray)</p>"
7,Before Sunset,2004,https://boxd.it/2bcg,Week 7 - Most popular film in your watchlist
8,Redes,1936,https://boxd.it/5TyG,Week 8 - Martin Scorsese's World Cinema Project
9,Alice in the Cities,1974,https://boxd.it/27cG,Week 9 - criterion staff picks
10,Knife in the Water,1962,https://boxd.it/1THK,Week 10 - NYFF Favorites
11,Taste of Cherry,1997,https://boxd.it/1m8W,"Week 11 - ""Observations on Film Art"""
12,Symbiopsychotaxiplasm: Take One,1968,https://boxd.it/R6q,Week 12 -- First Films / directorial debut
13,"Life, and Nothing More…",1992,https://boxd.it/2WEc,Week 13 -- virtually reality
