Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-07-07,My Criterion Collection,,https://boxd.it/hh2MO,"Everything I own physically on Criterion, ordered by spine number. Blu-Ray vs DVD and when I bought them is specified in notes."

Position,Name,Year,URL,Description
1,Seven Samurai,1954,https://boxd.it/2axi,DVD -- March 2021
2,The 400 Blows,1959,https://boxd.it/2b1C,Blu-Ray -- July 2022
3,The Silence of the Lambs,1991,https://boxd.it/2aHW,DVD -- September 2020
4,Rushmore,1998,https://boxd.it/1TAO,Blu-Ray — September 2022
5,Brazil,1985,https://boxd.it/2be2,"Blu-Ray -- July 2022

(had an OG print DVD prior, but I pawned it because the video quality was so bad lmfao)"
6,Do the Right Thing,1989,https://boxd.it/29gA,Blu-Ray -- July 2021
7,Rebecca,1940,https://boxd.it/2aQa,Blu-Ray -- July 2021
8,8½,1963,https://boxd.it/2aqm,DVD -- November 2020
9,Traffic,2000,https://boxd.it/27Ue,DVD -- I have no idea lmfao
10,The Royal Tenenbaums,2001,https://boxd.it/1YHU,DVD -- January 2021
11,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,DVD -- December 2020 (estimate)
12,Ikiru,1952,https://boxd.it/251c,DVD -- January 2021 (estimate)
13,Shadows,1958,https://boxd.it/1M9c,"Representative of the whole Cassavetes boxset.

Blu-Ray -- December 2025"
14,Hoop Dreams,1994,https://boxd.it/1Opc,DVD -- August 2020. My first ever Criterion.
15,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,DVD -- February 2021 (estimate)
16,Harakiri,1962,https://boxd.it/1NTU,DVD -- October 2020
17,Ran,1985,https://boxd.it/1Tlu,DVD -- March 2021 (my rarest one by far)
18,La Haine,1995,https://boxd.it/2as8,Blu-Ray -- April 2021
19,Days of Heaven,1978,https://boxd.it/1JRg,Blu-Ray -- December 2024
20,Hunger,2008,https://boxd.it/1Wso,Blu-Ray — July 2022
21,Paths of Glory,1957,https://boxd.it/29b6,DVD -- September 2020
22,House,1977,https://boxd.it/1vsm,Blu-Ray -- February 2022
23,Cronos,1992,https://boxd.it/1TjS,Blu-Ray -- August 2022
24,Fish Tank,2009,https://boxd.it/1xBg,Blu-Ray -- November 2025
25,Still Walking,2008,https://boxd.it/1wvm,Blu-Ray -- September 2021
26,Secret Sunshine,2007,https://boxd.it/27CY,DVD -- September 2021
27,Three Colours: Blue,1993,https://boxd.it/2b7K,Represents entire trilogy -- no idea when I got this lmfao
28,Being John Malkovich,1999,https://boxd.it/2ahu,Blu-Ray -- December 2020
29,Weekend,2011,https://boxd.it/2Kzu,Blu-Ray -- May 2024
30,Badlands,1973,https://boxd.it/25Fm,Blu-Ray -- December 2023
31,Thief,1981,https://boxd.it/1TEc,<p>DVD — December 2022</p>
32,Persona,1966,https://boxd.it/29B4,Blu-Ray -- March 2021
33,Y Tu Mamá También,2001,https://boxd.it/28QM,Blu-Ray -- May 2022
34,Eraserhead,1977,https://boxd.it/299u,Blu-Ray -- July 2021
35,Gates of Heaven,1978,https://boxd.it/1wBu,"Blu-Ray, coupled with <i>Vernon, Florida</i> -- July 2021"
36,Mulholland Drive,2001,https://boxd.it/297o,Blu-Ray -- February 2022
37,Inside Llewyn Davis,2013,https://boxd.it/34Ro,DVD -- November 2023
38,A Brighter Summer Day,1991,https://boxd.it/1Luy,Blu-Ray -- February 2021
39,Dekalog,1989,https://boxd.it/bv4u,Blu-Ray -- December 2020
40,Pan's Labyrinth,2006,https://boxd.it/28No,Blu-Ray -- September 2021
41,Punch-Drunk Love,2002,https://boxd.it/20E4,Blu-Ray -- December 2022
42,Stalker,1979,https://boxd.it/28PO,Blu-Ray -- July 2021
43,Certain Women,2016,https://boxd.it/bk7W,DVD -- December 2020 (estimate)
44,The Tree of Life,2011,https://boxd.it/1Zu8,Blu-Ray -- December 2020
45,Police Story,1985,https://boxd.it/1Zhe,Blu-Ray -- April 2023
46,Funny Games,1997,https://boxd.it/1WKM,Blu-Ray -- May 2023
47,Blue Velvet,1986,https://boxd.it/29BI,Blu-Ray -- June 2021
48,All About My Mother,1999,https://boxd.it/2b9c,Blu Ray -- July 2022
49,Roma,2018,https://boxd.it/f69M,DVD -- September 2020
50,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,Blu-Ray -- December 2020
51,Come and See,1985,https://boxd.it/1w9q,Blu-Ray -- December 2020
52,Marriage Story,2019,https://boxd.it/hJAw,DVD -- September 2020
53,Parasite,2019,https://boxd.it/hTha,"DVD -- October 2020 (I really need to get a Blu-Ray, but this was a birthday present so I'd feel bad selling it)"
54,Crash,1996,https://boxd.it/29n2,Blu-Ray -- May 2025
55,Chop Shop,2007,https://boxd.it/1LZQ,Blu-Ray -- July 2021
56,Memories of Murder,2003,https://boxd.it/1TSo,Blu-Ray -- April 2021
57,Pariah,2011,https://boxd.it/2wWk,Blu-Ray -- July 2021
58,Mirror,1975,https://boxd.it/28Q8,Blu-Ray -- July 2021
59,The Celebration,1998,https://boxd.it/2aCM,Blu-Ray -- July 2022
60,Take Out,2004,https://boxd.it/17DA,Blu-Ray -- December 2022
61,All of Us Strangers,2023,https://boxd.it/Bz3C,Blu-Ray -- December 2025
62,No Country for Old Men,2007,https://boxd.it/21ew,Blu-Ray -- December 2024
