Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-12-18,My parents’ top 10 of 2022,,https://boxd.it/jCt9O,I love them!

Position,Name,Year,URL,Description
1,Decision to Leave,2022,https://boxd.it/qp9e,
2,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
3,The Fabelmans,2022,https://boxd.it/ugoM,
4,Glass Onion,2022,https://boxd.it/oCkK,
5,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,
6,A Human Position,2022,https://boxd.it/yOeu,
7,The Lost King,2022,https://boxd.it/yqoq,
8,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,
9,Nope,2022,https://boxd.it/sDCe,
10,Top Gun: Maverick,2022,https://boxd.it/cjr4,
