Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-04-17,New Directors/New Films Festival 2021,film festival,https://boxd.it/bPt7M,I'm really trying to take advantage of virtual film festivals while I can (I'm still mad I missed South by Southwest). Will be watching these 7 films April 28 - May 8 and will rank them as I go.

Position,Name,Year,URL,Description
1,Pebbles,2021,https://boxd.it/tgko,
2,Luzzu,2021,https://boxd.it/tbjg,
3,Apples,2020,https://boxd.it/ofco,
4,We're All Going to the World's Fair,2021,https://boxd.it/tbmY,
5,Taming the Garden,2021,https://boxd.it/tbkS,
6,Gull,2020,https://boxd.it/qpci,
7,Faya Dayi,2021,https://boxd.it/tbk4,
