Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-21,Physical Media Collection,,https://boxd.it/jdFYk,Alphabetical order. Format mentioned in notes.

Position,Name,Year,URL,Description
1,2001: A Space Odyssey,1968,https://boxd.it/2bf0,Blu-Ray
2,2016: Obama's America,2012,https://boxd.it/49kG,DVD (Family Video copy)
3,2046,2004,https://boxd.it/29tu,DVD
4,300: Rise of an Empire,2014,https://boxd.it/xaC,DVD
5,The 400 Blows,1959,https://boxd.it/2b1C,Blu-Ray -- Criterion Collection
6,8½,1963,https://boxd.it/2aqm,DVD -- Criterion Collection (original print)
7,The Abyss,1989,https://boxd.it/26mK,DVD
8,Adaptation.,2002,https://boxd.it/26mA,DVD
9,After Yang,2021,https://boxd.it/lx5a,Blu-Ray
10,Aftersun,2022,https://boxd.it/Arw0,Blu-Ray
11,Akira,1988,https://boxd.it/2b1i,"DVD (Steelbook)

VHS (1994 US release)"
12,Alien,1979,https://boxd.it/2awY,"DVD

Blu-Ray"
13,Alien³,1992,https://boxd.it/20zS,DVD
14,Aliens,1986,https://boxd.it/29PA,DVD
15,All About My Mother,1999,https://boxd.it/2b9c,Blu-Ray -- Criterion Collection
16,American Beauty,1999,https://boxd.it/71Y,DVD
17,American Graffiti,1973,https://boxd.it/29us,4K Blu-Ray
18,American History X,1998,https://boxd.it/2bdo,Blu-Ray
19,American Psycho,2000,https://boxd.it/28Vs,Blu-Ray (Director's Cut)
20,Annihilation,2018,https://boxd.it/9yzm,Blu-Ray
21,Anomalisa,2015,https://boxd.it/97TE,Blu-Ray
22,Apocalypse Now,1979,https://boxd.it/6ZS,Blu-Ray (includes Redux)
23,Army of Darkness,1992,https://boxd.it/29G4,DVD
24,Arrival,2016,https://boxd.it/aNGk,Blu-Ray
25,The Artist,2011,https://boxd.it/2AwK,DVD (Family Video copy)
26,As Good as It Gets,1997,https://boxd.it/268y,DVD
27,The Aviator,2004,https://boxd.it/26BU,DVD
28,Babel,2006,https://boxd.it/292o,DVD
29,Baby Driver,2017,https://boxd.it/bhF2,Blu-Ray
30,Badlands,1973,https://boxd.it/25Fm,Blu-Ray -- Criterion Collection
31,Batman,1989,https://boxd.it/2aIU,DVD
32,Batman & Robin,1997,https://boxd.it/2ar0,DVD
33,Batman Begins,2005,https://boxd.it/2aIg,DVD
34,Batman Forever,1995,https://boxd.it/2ara,DVD
35,Batman Returns,1992,https://boxd.it/2awa,DVD
