Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-17,Pixar Films,rankings,https://boxd.it/nlM0S,"My ranking of every Pixar film I've seen (all except <i>Lightyear</i> and <i>Elio</i>). No rating means I haven't seen it since before 2020, but I'm gonna do my best and place them all based on memory.

Last update -- September 7, 2025"

Position,Name,Year,URL,Description
1,The Incredibles,2004,https://boxd.it/1XLm,
2,WALL·E,2008,https://boxd.it/1VEo,
3,Up,2009,https://boxd.it/1OEc,
4,Toy Story,1995,https://boxd.it/29qA,
5,Toy Story 2,1999,https://boxd.it/29qq,
6,Toy Story 3,2010,https://boxd.it/1WRe,
7,Ratatouille,2007,https://boxd.it/27ww,
8,Inside Out,2015,https://boxd.it/4KHC,
9,Soul,2020,https://boxd.it/ioLA,
10,Finding Nemo,2003,https://boxd.it/72i,
11,"Monsters, Inc.",2001,https://boxd.it/2a46,
12,Coco,2017,https://boxd.it/bYJQ,
13,Cars,2006,https://boxd.it/29ho,
14,A Bug's Life,1998,https://boxd.it/1Yyy,
15,Hoppers,2026,https://boxd.it/OFpg,
16,Inside Out 2,2024,https://boxd.it/CFrC,
17,Finding Dory,2016,https://boxd.it/4aAA,
18,Monsters University,2013,https://boxd.it/bQm,
19,Brave,2012,https://boxd.it/bVG,
20,Luca,2021,https://boxd.it/ipjC,
21,Incredibles 2,2018,https://boxd.it/7IPg,
22,Cars 3,2017,https://boxd.it/7IPq,
23,Turning Red,2022,https://boxd.it/ipkq,
24,Onward,2020,https://boxd.it/io92,
25,The Good Dinosaur,2015,https://boxd.it/3AD4,
26,Elemental,2023,https://boxd.it/ASiE,
27,Toy Story 4,2019,https://boxd.it/9ALu,
28,Cars 2,2011,https://boxd.it/H4Y,
