Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-06-01,Pride month 2022,,https://boxd.it/gOGjk,"I love it when corporations acknowledge the existence of myself and all my other LGBTQ+ friends for exactly 30 days! Nonetheless, it’s a good time to watch gay cinema. Cheers to my fellow queers!"

Position,Name,Year,URL,Description
1,Sunday Bloody Sunday,1971,https://boxd.it/OlW,
2,Tangerine,2015,https://boxd.it/9QRe,
3,Theorem,1968,https://boxd.it/237C,Criterion Channel
4,Show Me Love,1998,https://boxd.it/1TmW,YouTube
5,Beau Travail,1999,https://boxd.it/1NI8,Criterion Channel
6,Je Tu Il Elle,1974,https://boxd.it/3gWK,Criterion Channel
7,Hedwig and the Angry Inch,2001,https://boxd.it/1Qfe,Library DVD
8,The Bitter Tears of Petra von Kant,1972,https://boxd.it/1WzE,Criterion Channel
9,Happy Together,1997,https://boxd.it/1Ha0,Criterion Channel
