Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-12-29,Remaining 2022 watchlist,,https://boxd.it/eB7Y4,"Composed of the highest rated films I have yet to see or movies that just strongly interest me in general (companies, festivals, cool synopses, etc.)"

Position,Name,Year,URL,Description
1,Argentina 1985,2022,https://boxd.it/qLxM,Any time
2,Fire Island,2022,https://boxd.it/vV8C,Any time
3,Flux Gourmet,2022,https://boxd.it/w23a,Any time?
4,Is That Black Enough for You?!?,2022,https://boxd.it/CjyQ,Any time
5,Let the Little Light Shine,2022,https://boxd.it/zGTw,Any time
6,"Monica, O My Darling",2022,https://boxd.it/yuuM,Any time
7,Nitram,2021,https://boxd.it/u0rA,Any time
8,The Territory,2022,https://boxd.it/ypt0,Any time
9,Weird: The Al Yankovic Story,2022,https://boxd.it/yYZA,Any time?
10,Wendell & Wild,2022,https://boxd.it/iwtu,Any time
11,A Wounded Fawn,2022,https://boxd.it/Aqui,Any time?
12,Strange World,2022,https://boxd.it/x6Li,Any time (IN THEATERS)
13,Corsage,2022,https://boxd.it/xxTS,January 6
14,The Son,2022,https://boxd.it/umm8,January 20
15,Armageddon Time,2022,https://boxd.it/mLRk,"Any time theoretically, it's just pricey"
16,Bad Axe,2022,https://boxd.it/zd8m,"Any time theoretically, it's just pricey"
17,Both Sides of the Blade,2022,https://boxd.it/sTyW,"Any time theoretically, it's just pricey"
18,The Eternal Daughter,2022,https://boxd.it/tJnG,"Any time theoretically, it's just pricey"
19,God's Country,2022,https://boxd.it/xcT8,"Any time theoretically, it's just pricey"
20,Hunt,2022,https://boxd.it/rgNG,"Any time theoretically, it's just pricey"
21,Please Baby Please,2022,https://boxd.it/qiJE,"Any time theoretically, it's just pricey"
22,Till,2022,https://boxd.it/wfwY,"Any time theoretically, it's just pricey"
23,The Woman King,2022,https://boxd.it/r9a8,"Any time theoretically, it's just pricey"
24,All That Breathes,2022,https://boxd.it/yprS,Idk
25,Band,2022,https://boxd.it/A7dC,Idk
26,A Compassionate Spy,2022,https://boxd.it/BYlc,Idk
27,Freedom on Fire: Ukraine's Fight for Freedom,2022,https://boxd.it/BYky,Idk
28,Leonor Will Never Die,2022,https://boxd.it/yoJQ,Idk
29,Living with Chucky,2022,https://boxd.it/yUCi,Idk
30,The Lost King,2022,https://boxd.it/yqoq,Idk
31,The Novelist's Film,2022,https://boxd.it/yZX6,Idk
32,Piaffe,2022,https://boxd.it/BFRS,Idk
33,The UnRedacted,2022,https://boxd.it/yoQs,Idk
34,EO,2022,https://boxd.it/txhc,
35,20th Century Girl,2022,https://boxd.it/w9ea,
36,The Last 10 Years,2022,https://boxd.it/x57m,
37,Fast & Feel Love,2022,https://boxd.it/xAKk,
