Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-06-11,Sean Baker's Insta Recommendations (June 2024 on),,https://boxd.it/wa3ro,

Position,Name,Year,URL,Description
1,Daughters of Darkness,1971,https://boxd.it/NMs,1970s horror - pick five
2,The Wicker Man,1973,https://boxd.it/1KnG,1970s horror - pick five
3,Carrie,1976,https://boxd.it/20ZQ,1970s horror - pick five
4,Eraserhead,1977,https://boxd.it/299u,1970s horror - pick five
5,Phantasm,1979,https://boxd.it/1YaG,1970s horror - pick five
6,Eyes Wide Shut,1999,https://boxd.it/2axs,Choose 5 movies from 1999
7,"Lock, Stock and Two Smoking Barrels",1998,https://boxd.it/2b92,Choose 5 movies from 1999
8,The Green Mile,1999,https://boxd.it/2agG,Choose 5 movies from 1999
9,Election,1999,https://boxd.it/1YEc,Choose 5 movies from 1999
10,Fight Club,1999,https://boxd.it/2a9q,Choose 5 movies from 1999
11,In a Glass Cage,1986,https://boxd.it/MnG,"“One of the most distributing ever made, bar none”"
