Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-08-26,Shelton Jackson “Spike” Lee,,https://boxd.it/O0Iug,"Starting with <i>BlacKKKlansman </i>to his 95 recommended films list and continuing on, Spike Lee has been formative to my journey in film so I really gotta see more from him. But here’s where I stand as of whenever I last updated this list. All are good"

Position,Name,Year,URL,Description
1,Do the Right Thing,1989,https://boxd.it/29gA,
2,Malcolm X,1992,https://boxd.it/27WE,
3,BlacKkKlansman,2018,https://boxd.it/hxL8,
4,She's Gotta Have It,1986,https://boxd.it/1quC,
5,Crooklyn,1994,https://boxd.it/1efg,
6,Chi-Raq,2015,https://boxd.it/bjIM,
7,Highest 2 Lowest,2025,https://boxd.it/LcIC,
8,Da 5 Bloods,2020,https://boxd.it/lnXw,
