Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-02-05,Short Film Watching History (2025-2029),,https://boxd.it/DQybS,

Position,Name,Year,URL,Description
1,Wolf: The Documentary,2014,https://boxd.it/iTgy,"February 4, 2025

YouTube"
2,One Water,2013,https://boxd.it/kIQE,"February 17, 2025

YouTube"
3,CLICKBAIT,2025,https://boxd.it/Tcac,"February 28, 2025

DePaul theater"
4,I'm Not a Robot,2023,https://boxd.it/IGTE,"March 2, 2025

YouTube"
5,A Bundle A Minute,1991,https://boxd.it/Iz1K,"April 1, 2025

YouTube"
6,Herakles,1962,https://boxd.it/OLA,"April 1, 2025

YouTube

An interesting Godardian experiment for Herzog to begin with. Not a huge reaction out of me, but it's cool how he contrasted images of a bodybuilder with shots of industrialized death and destruction to show how, no matter how strong, man is no match for modern technology. Pretty good for a debut short!"
7,Winston,1987,https://boxd.it/62Pm,"April 4, 2025

Internet Archive

The way it ended left me a tad confused, but everything until then was pretty fantastic actually. Great editing, performances, and a well-structured story about jealousy and feeling empty. Loved it.

Soderbergh explaining it: https://archive.org/details/winston-criterion-ld"
8,Mannerisms,2025,https://boxd.it/TL8A,"April 4, 2025

YouTube"
9,The Pillar of Fire,1899,https://boxd.it/3yqC,"April 6, 2025

YouTube"
10,45 7 Broadway,2013,https://boxd.it/8Q8Q,"April 6, 2025

Vimeo"
11,Amusement Ride,2019,https://boxd.it/mNMc,"April 6, 2025

Vimeo"
12,edgewater,2025,https://boxd.it/Ucog,"April 13, 2025

YouTube"
13,Memory Film,2012,https://boxd.it/kJuk,"April 14, 2025<br><br>Music Box Theatre"
14,Pierre and Sonny Jim,2002,https://boxd.it/gFDE,"April 14, 2025<br><br>Music Box Theatre"
15,Dream #7,2010,https://boxd.it/Syy4,"April 14, 2025<br><br>Music Box Theatre"
16,Perfect Casting,2024,https://boxd.it/OEkY,"April 26, 2025

Facets - CineYouth animation program"
17,Stay,2024,https://boxd.it/OtJI,"April 26, 2025

Facets - CineYouth animation program"
18,The Vickerilla Family Reunion,2025,https://boxd.it/U54y,"April 26, 2025

Facets - CineYouth animation program"
19,Cousin,1999,https://boxd.it/IT4,"June 2, 2025<br><br>In class"
20,Patron Saint Buffalo Bill,2024,https://boxd.it/UqIO,"June 6, 2025 (DePaul Premiere)<br><br>Music Box Theatre"
21,So & So,2025,https://boxd.it/VssK,"June 6, 2025 (DePaul Premiere)<br><br>Music Box Theatre"
22,tracks,2024,https://boxd.it/Uf5G,"June 6, 2025 (DePaul Premiere)<br><br>Music Box Theatre"
23,light blossom,2025,https://boxd.it/W4kE,"July 6, 2025

YouTube"
24,Popeye the Sailor Meets Sindbad the Sailor,1936,https://boxd.it/2f70,"July 14, 2025<br><br>MUBI"
25,Lifted,2006,https://boxd.it/1QW8,"September 4, 2025<br><br>Disney+"
26,Knick Knack,1989,https://boxd.it/1P74,"September 7, 2025<br><br>Disney+"
27,Front and Back,1991,https://boxd.it/7eL4,"September 8, 2025

YouTube"
28,The Burden,2017,https://boxd.it/gkhM,"<p>September 23, 2025<br><br>In class<br><br>Not saying anything particularly new and a bit grating for how much it throws at you, but I respect how the animation is used and conceptually it’s pretty cool. Great sound design. Kinda like PlayTime lite, and interesting that my professor said that the best short films are plotless films with great vibes and just a brief glimpse into a world. Something to think about</p>"
29,Umbilical Cord to Heaven,2019,https://boxd.it/pC8m,"October 5, 2025

For class (on a Google Drive link)

Pretty sick imagery and sound work and I can't believe a film student made this! My professor said this was made at DePaul and I can't quite wrap my head around that. Love that final cut a lot."
30,The Headhunter's Daughter,2022,https://boxd.it/yqtA,"October 5, 2025

For class (through a Vimeo link)

This one was cool too. Feels like it's trying to be a bigger story than it actually is, and it's certainly well-directed with enough heart shining through that it would probably warrant being a feature, but as a short it's still an interesting watch at least, despite not really strongly gripping me at any point. I liked it though, this guy is really good at directing slower scenes that are captivating to watch, which definitely can't always be said for short films."
31,Vox Humana,2024,https://boxd.it/OFw2,"October 5, 2025

For class (Vimeo link)

Best DJRE film I've seen thus far. Feels like the most complete story for its runtime, the atmospheric sound design and cinematography are at their most immersive and most narratively significant here, the scene in the interrogation room was a stunner, and it left me with questions during its ending but I still felt emotionally satisfied based on images and feelings alone. Great stuff."
32,An Alternative Method,2021,https://boxd.it/u4Ty,"October 6, 2025

For class (through a Vimeo link)

Surprising ending that made me like this more!"
33,A Black Hole Near Kent County,2023,https://boxd.it/KriC,"October 7, 2025

For class (through a Vimeo link)"
34,The Sphinx,2025,https://boxd.it/SswG,"October 14, 2025<br><br>In class<br><br>Honestly?? Some kind of a miracle and unicorn. Actually really terrifying, an amazing portrayal of social anxiety, feeling too vulnerable and uncomfortable when you don’t fit in and just want to escape, feeling too weird to be loved, and the existential nature of how your social anxieties when you grow up are forever going to be a memory that you can’t do anything about and you have to live with that forever. The TVs at the start and end… wow. An analog capsule of pain and agitation."
35,Bailey's Blues,2025,https://boxd.it/XRIM,"October 19, 2025

Chicago History Museum - CIFF City & State shorts"
36,Madrina,2025,https://boxd.it/Y4oK,"October 19, 2025

Chicago History Museum - CIFF City & State shorts"
37,Debaters,2025,https://boxd.it/RYxO,"October 19, 2025

Chicago History Museum - CIFF City & State shorts"
38,Your Tomorrow Will Be My Song,2025,https://boxd.it/XOki,"October 19, 2025

Chicago History Museum - CIFF City & State shorts"
39,Chasing the Party,2025,https://boxd.it/VelA,"October 19, 2025

Chicago History Museum - CIFF City & State shorts"
40,It's Just a Fucking Opening,2025,https://boxd.it/Ym52,"October 19, 2025

Chicago History Museum - CIFF City & State shorts"
41,Make No Mistake: These Are the Glory Days,2025,https://boxd.it/XHFe,"October 19, 2025

Chicago History Museum - CIFF City & State shorts"
42,Replay,2025,https://boxd.it/WD84,"October 25, 2025

Landmark Century Centre

Played before <i>Frankenstein</i> for some reason… lmfao wtf"
43,Weaving Women,1905,https://boxd.it/7hly,"November 5, 2025

YouTube

The first ever film to be made in the Ottoman Empire"
44,Grandma Despina,1905,https://boxd.it/6PQo,"November 5, 2025

YouTube

The first ever film to be made in the Ottoman Empire"
45,Skin to Skin,,https://boxd.it/Vmxa,"November 13, 2025

YouTube"
46,Prick,2026,https://boxd.it/XfXE,"November 15, 2025

Rough cut"
47,Eve,2026,https://boxd.it/XfXk,"November 15, 2025

Rough cut"
48,The Quintessential Quartet,2025,https://boxd.it/YVRq,"November 16, 2025

YouTube"
49,Opening Night,2019,https://boxd.it/k75c,"November 18, 2025

In class"
50,The Role,2018,https://boxd.it/kztQ,"November 18, 2025

In class"
51,Icebergs,2018,https://boxd.it/izNi,"November 18, 2025

In class"
52,Balloonfest,2017,https://boxd.it/fNoK,"November 18, 2025

In class"
53,The Last Trip to the Seaside,2019,https://boxd.it/m02Y,"November 18, 2025

In class"
54,Optimism,2018,https://boxd.it/i5CO,"November 18, 2025

In class"
55,La Jetée,1962,https://boxd.it/29Sk,"November 28, 2025

Criterion Channel (at home)"
56,The Lost Chapter: Yuki's Revenge,2025,https://boxd.it/ZbLe,"December 6, 2025

AMC Naperville (after The Whole Bloody Affair)"
57,Life,2021,https://boxd.it/CSFW,"December 27, 2025

YouTube

I live for this slice-of-life shit on such a small scale, and seeing Panahi shoot on an iPhone was so inspiring. Might be looking back at this for documentary editing and cinematography inspiration."
58,Virgencita,2020,https://boxd.it/ka1W,"December 27, 2025

Vimeo

The central bit is actually very strong, I just wish it didn't just leave the same bit to be the overall message and wish it went a little deeper than the awkward comedy of it. She didn't even get to say her piece to her mom! Solid for what it is though, a student film that genuinely feels professionally made in terms of camera, sound, editing, directing, acting, etc. which I want nothing more than to achieve."
59,Sharing Heat,2025,https://boxd.it/ZvOi,
60,White Night,2010,https://boxd.it/1fW6,"January 5, 2026

In class"
61,The Bread and Alley,1970,https://boxd.it/4cjm,"January 12, 2026

Criterion Channel"
62,Unnur,2020,https://boxd.it/sm3G,"January 13, 2026

In class"
63,Uncle Yanco,1967,https://boxd.it/8sV0,"January 13, 2026

In class"
64,Laps,2017,https://boxd.it/hgOO,"January 13, 2026

In class"
65,Perfectly a Strangeness,2024,https://boxd.it/MLKK,"January 22, 2026

On a link"
66,Roi et reine de Roumanie et leur escorte,1897,https://boxd.it/6ObY,"January 23, 2026

YouTube"
67,Baby's Meal,1895,https://boxd.it/426C,"January 23, 2026

YouTube"
68,The Fall,2019,https://boxd.it/nRTy,In class
69,Ten Meter Tower,2016,https://boxd.it/dfcm,In class
70,Curve,2016,https://boxd.it/dFF0,In class
71,Thunder Road,2016,https://boxd.it/ddue,In class
72,Ya Hanouni,2024,https://boxd.it/LfPc,At my first internship
73,"""Heyy"" With Two Y's or One?",2025,https://boxd.it/UZfs,At my first internship
74,Swimming Through,2022,https://boxd.it/D9uw,"February 24, 2026

In class"
75,Gugusse and the Automaton,1897,https://boxd.it/lrFG,"February 26, 2026

Online (Library of Congress)"
76,Le manoir du diable,1896,https://boxd.it/4jBs,"February 26, 2026

Online (YouTube)

A guy fucking kills himself because he's so shocked by Méliès's tricks lmao"
77,The Fat and Lean Wrestling Match,1900,https://boxd.it/3C4g,"February 26, 2026

Online (YouTube)

I like the idea that every victor had to put their opponent back together after winning. Good sportsmanship! Also was really entertained by the pancake one."
78,The Burning Stable,1896,https://boxd.it/5JQK,"February 26, 2026

Online (YouTube)

Framerate went crazy on the YouTube video I watched lmao"
79,"The Execution of Mary, Queen of Scots",1895,https://boxd.it/1dXm,"February 26, 2026

Online (YouTube)

How is this allowed on YouTube"
80,Shooting the Chutes,1896,https://boxd.it/5IxM,"February 26, 2026

Online (YouTube)

BOOOOO they only showed one tube go down. I know they had the film stock for more than that. Do better next time. 👎"
81,Soldiers,2026,https://boxd.it/11506,At my first internship
82,Back Then,2026,https://boxd.it/Wekk,At my first internship
83,"""The Bit""",2025,https://boxd.it/Y8zs,"March 6, 2026

DePaul Short Film Festival"
84,So Can I,1975,https://boxd.it/d7OW,"March 15, 2026

Criterion Channel"
85,Eye Myth,1967,https://boxd.it/3mQ4,"March 25, 2026

At Jake's place"
86,Anemic Cinema,1926,https://boxd.it/l7m,"March 31, 2026

YouTube"
87,Christmas on Earth,1964,https://boxd.it/7OeU,"April 1, 2026

ok.ru"
88,Metal,2025,https://boxd.it/Qhl4,
