Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-08-26,Sir Steve Rodney McQueen,,https://boxd.it/i0UJY,"This man is a prodigy. I need to revisit everything in Small Axe (pretty sure they'll all go up in rating), but I'm under the impression that McQueen is one of the absolute best directors working today."

Position,Name,Year,URL,Description
1,Shame,2011,https://boxd.it/2CxU,
2,Hunger,2008,https://boxd.it/1Wso,
3,Widows,2018,https://boxd.it/e6gc,
4,12 Years a Slave,2013,https://boxd.it/2D2e,
5,"Red, White and Blue",2020,https://boxd.it/siQE,
6,Blitz,2024,https://boxd.it/xR8i,
7,Lovers Rock,2020,https://boxd.it/Cpn0,
8,Education,2020,https://boxd.it/sTpK,
9,Mangrove,2020,https://boxd.it/qEAa,
10,Alex Wheatle,2020,https://boxd.it/sff6,
