Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-09-21,Smash Cut to Black,,https://boxd.it/imf7o,I love these endings so much

Position,Name,Year,URL,Description
1,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,
2,Red Rocket,2021,https://boxd.it/sGpi,
3,First Reformed,2017,https://boxd.it/go9C,
4,No Country for Old Men,2007,https://boxd.it/21ew,
5,Midsommar,2019,https://boxd.it/jhxe,
6,Whiplash,2014,https://boxd.it/7bQA,
7,Inception,2010,https://boxd.it/1skk,
8,The Shining,1980,https://boxd.it/29Nu,
9,Uncut Gems,2019,https://boxd.it/gXGc,
10,The Tree of Life,2011,https://boxd.it/1Zu8,
11,The Lobster,2015,https://boxd.it/7tnw,
12,Ex Machina,2015,https://boxd.it/7T2k,
13,Annihilation,2018,https://boxd.it/9yzm,
14,The Witch,2015,https://boxd.it/9X0m,
15,Shame,2011,https://boxd.it/2CxU,
16,Vortex,2021,https://boxd.it/uoni,
17,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
18,Eraserhead,1977,https://boxd.it/299u,
19,A Serious Man,2009,https://boxd.it/1RFW,
