Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-06-30,Spike Lee's 95 Films Ranked,rankings,https://boxd.it/5RwYE,"January 2021 update - I initially started this binge over the summer to try and see some more ""classic"" films but obviously (and sadly) never got around to finishing :/ I don't think I'll continue this in the near future, but I'll keep updating it as I see films from the list.


This is the binge I'm starting that I feel is most important right now. I'm still a blossoming cinephile, and these 95 films are specifically recommended by Spike Lee for up and coming filmmakers. It's a list of movies I will look back on in the future because of being recommended by Spike Lee himself. So it's going to age with time.

<a href=""https://faroutmagazine.co.uk/spike-lee-95-favourite-films-list/"">Here's the list</a>"

Position,Name,Year,URL,Description
1,City of God,2002,https://boxd.it/2a2a,
2,Hoop Dreams,1994,https://boxd.it/1Opc,
3,Boyz n the Hood,1991,https://boxd.it/29Ug,
4,Paths of Glory,1957,https://boxd.it/29b6,
5,Ran,1985,https://boxd.it/1Tlu,
6,Raging Bull,1980,https://boxd.it/28yI,
7,Dog Day Afternoon,1975,https://boxd.it/29bg,
8,Rear Window,1954,https://boxd.it/2a6Q,
9,Chinatown,1974,https://boxd.it/29vU,
10,Yojimbo,1961,https://boxd.it/1SRY,
11,North by Northwest,1959,https://boxd.it/2aRM,
12,Vertigo,1958,https://boxd.it/2apI,
13,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
14,Rashomon,1950,https://boxd.it/2a9K,
15,"Rome, Open City",1945,https://boxd.it/2aD6,
16,Raising Arizona,1987,https://boxd.it/2avQ,
17,Mean Streets,1973,https://boxd.it/2aSU,
18,Spartacus,1960,https://boxd.it/29bq,
19,District 9,2009,https://boxd.it/1Iik,
20,Bad Lieutenant,1992,https://boxd.it/1Src,
