Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-08-31,Spooky Season 2021,,https://boxd.it/deW8S,A series of films I'll hopefully be watching for this year's spooky season.

Position,Name,Year,URL,Description
1,Halloween,1978,https://boxd.it/2wRu,
2,Halloween,2007,https://boxd.it/27u6,
3,Halloween,2018,https://boxd.it/f0uE,
4,Repulsion,1965,https://boxd.it/1TKu,
5,The Witch,2015,https://boxd.it/9X0m,
6,Cannibal Holocaust,1980,https://boxd.it/1ZWQ,
7,Eraserhead,1977,https://boxd.it/299u,
8,The Evil Dead,1981,https://boxd.it/29Go,
9,Evil Dead II,1987,https://boxd.it/29Ge,
10,Ichi the Killer,2001,https://boxd.it/1Y1O,
11,Suicide Club,2001,https://boxd.it/1RkY,
12,Raw,2016,https://boxd.it/dLd2,
13,Funny Games,1997,https://boxd.it/1WKM,
14,The Wailing,2016,https://boxd.it/9fLy,
15,A Tale of Two Sisters,2003,https://boxd.it/248m,
16,Thirst,2009,https://boxd.it/1Aqq,
17,Beyond the Black Rainbow,2010,https://boxd.it/EzY,
18,The Blair Witch Project,1999,https://boxd.it/26ua,
19,Don't Look Now,1973,https://boxd.it/29fC,
20,Deep Red,1975,https://boxd.it/1E1E,
21,Let the Right One In,2008,https://boxd.it/1Qr0,
22,Braindead,1992,https://boxd.it/29Gy,
23,Santa Sangre,1989,https://boxd.it/1FrI,
24,Henry: Portrait of a Serial Killer,1986,https://boxd.it/1VCM,
25,Angst,1983,https://boxd.it/1G46,
26,The Devil's Backbone,2001,https://boxd.it/28Li,
27,It Follows,2014,https://boxd.it/87wo,
28,Saint Maud,2019,https://boxd.it/l8QA,
29,Session 9,2001,https://boxd.it/1UXu,
30,City of Pirates,1983,https://boxd.it/2cwG,
31,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM,
32,Demons,1971,https://boxd.it/3yiy,
33,The Cremator,1969,https://boxd.it/1H8y,
34,The Living and the Dead,2006,https://boxd.it/1QwY,
35,Child's Play,1988,https://boxd.it/1VTo,
36,Piranha 3D,2010,https://boxd.it/U5q,
37,Night of the Living Dead,1968,https://boxd.it/1WwA,
38,The Eyes of My Mother,2016,https://boxd.it/cTd8,
39,Kill List,2011,https://boxd.it/2z4g,
40,Re-Animator,1985,https://boxd.it/28hM,
41,Paranormal Activity,2007,https://boxd.it/1yIM,
42,Carnival of Souls,1962,https://boxd.it/1KQ4,
43,The Invitation,2015,https://boxd.it/9OUU,
44,Hush,2016,https://boxd.it/d5ys,
45,Friday the 13th,1980,https://boxd.it/24fs,
