Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-05-09,Stanley Kubrick Ranked,rankings,https://boxd.it/5t8xQ,"This is going to have some hot takes but it's based on my sincere opinion after seeing all of these.

Update 10/9/2022: Haven't seen any of these in 2 years lmfao this is probably so outdated"

Position,Name,Year,URL,Description
1,The Shining,1980,https://boxd.it/29Nu,
2,A Clockwork Orange,1971,https://boxd.it/2aVE,
3,Paths of Glory,1957,https://boxd.it/29b6,
4,Full Metal Jacket,1987,https://boxd.it/2a1Q,
5,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
6,Barry Lyndon,1975,https://boxd.it/25A2,
7,Eyes Wide Shut,1999,https://boxd.it/2axs,
8,The Killing,1956,https://boxd.it/2aMi,
9,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
10,Spartacus,1960,https://boxd.it/29bq,
11,Lolita,1962,https://boxd.it/29Ag,
12,Killer's Kiss,1955,https://boxd.it/1Xcc,
13,Fear and Desire,1952,https://boxd.it/1WVq,
