Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-06-14,Steven Allan Spielberg,,https://boxd.it/HTmsu,"Rough first pass.

Haven't seen recently enough to rank -- <i>Hook</i>; <i>The Post</i>; <i>The BFG</i>"

Position,Name,Year,URL,Description
1,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
2,Jurassic Park,1993,https://boxd.it/2aA2,
3,The Fabelmans,2022,https://boxd.it/ugoM,
4,The Adventures of Tintin,2011,https://boxd.it/1Irc,
5,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
6,Jaws,1975,https://boxd.it/2a5e,
7,Schindler's List,1993,https://boxd.it/2aq2,
8,Minority Report,2002,https://boxd.it/2aWi,
9,Saving Private Ryan,1998,https://boxd.it/29ro,
10,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,
11,Catch Me If You Can,2002,https://boxd.it/29VS,
12,The Sugarland Express,1974,https://boxd.it/23la,
13,Duel,1971,https://boxd.it/29ui,
14,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
15,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,
16,War of the Worlds,2005,https://boxd.it/2bde,
17,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,
18,West Side Story,2021,https://boxd.it/iwt0,
19,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,
20,Ready Player One,2018,https://boxd.it/aZes,
