Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-02,Summer 2023 !!,,https://boxd.it/n4f10,My top priorities for what to watch this summer. First watches and re-watches. Excludes new releases.

Position,Name,Year,URL,Description
1,The Thin Red Line,1998,https://boxd.it/1ZTM,<p>Continuing my increasing Malick love</p>
2,Frances Ha,2012,https://boxd.it/41Xg,<p>Written by Gerwig — watch before <i>Barbie</i></p>
3,Lady Bird,2017,https://boxd.it/dGNE,<p>Re-watch before <i>Barbie</i></p>
4,The French Connection,1971,https://boxd.it/296g,The first example I was ever given of how to make an effective chase scene. I wanna see the movie in its entirety now.
5,Knife in the Water,1962,https://boxd.it/1THK,Continue my Polanski exploration
6,The Sixth Sense,1999,https://boxd.it/29Js,I really want to show my mom this movie
7,The Shining,1980,https://boxd.it/29Nu,Been over 3 years now since I've seen this.
8,Mirror,1975,https://boxd.it/28Q8,Movie rec from Celine Song
9,Bottle Rocket,1996,https://boxd.it/1PDa,Pre-Asteroid City
10,The Best Years of Our Lives,1946,https://boxd.it/29my,A daunting challenge that I want to finish this summer
11,Bicycle Thieves,1948,https://boxd.it/23hW,Coming to Gene Siskel Film Center
12,Late Spring,1949,https://boxd.it/1DkK,Coming to Gene Siskel Film Center
13,Francisca,1981,https://boxd.it/3IYO,Reminder for myself to continue the Criterion Challenge
14,Pink Floyd: The Wall,1982,https://boxd.it/1Sxk,Gotta finally check this out
15,Mystery Train,1989,https://boxd.it/1Ub6,Linh Tran mentioned Jim Jarmusch when discussing Waiting for the Light to Change. Re-watching this seems like a good place to start.
16,The Green Ray,1986,https://boxd.it/t8W,"Linh Tran mentioned Eric Rohmer when discussing Waiting for the Light to Change. This seems like a good place to start, outside of his short films which I've already seen."
17,"Right Now, Wrong Then",2015,https://boxd.it/bWs4,"Linh Tran mentioned Hong Sang-soo when discussing Waiting for the Light to Change. This seems like a good place to start, outside of The Woman Who Ran."
18,Touch of Evil,1958,https://boxd.it/28II,"Fascinating premise and multiple filmmakers I admire have recommended it (Owen Kline, Martin McDonagh, Frank Oz, Bong Joon-ho, <a href=""https://www.lacinetek.com/fr/film/la-soif-du-mal-orson-welles-vod"">everyone on this list</a>)"
19,Yi Yi,2000,https://boxd.it/1vCw,I really want to show this to my mom
20,An Attempt to Describe the Measure of a Man,1978,https://boxd.it/5NxM,Just looks really cool
21,The Birth of a Nation,1915,https://boxd.it/29Zg,I wanna get this shit out of the way so I can ignore it forever.
22,Tower,2016,https://boxd.it/dg60,Complete the trifecta of animated documentaries.
