Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-04,Sundance 2022 watchlist,sundance 2022,https://boxd.it/eKgMa,"Came in clutch with a new list, even if it doesn't have any of the new A24 films sadly"

Position,Name,Year,URL,Description
1,Klondike,2022,https://boxd.it/yoLC,
2,We Met in Virtual Reality,2022,https://boxd.it/ypta,
3,Mija,2022,https://boxd.it/ypnc,
4,Leonor Will Never Die,2022,https://boxd.it/yoJQ,
5,Mars One,2022,https://boxd.it/yoPa,
6,A Love Song,2022,https://boxd.it/yptk,
7,Nanny,2022,https://boxd.it/vPHQ,
8,Sharp Stick,2022,https://boxd.it/ubjM,
9,Master,2022,https://boxd.it/poPm,
10,Free Chol Soo Lee,2022,https://boxd.it/yoQ8,
11,Speak No Evil,2022,https://boxd.it/vqlg,
12,Emily the Criminal,2022,https://boxd.it/wBOq,
13,Happening,2021,https://boxd.it/tRts,
14,Hatching,2022,https://boxd.it/iKDo,
15,Sirens,2022,https://boxd.it/ypsw,
16,Meet Me in the Bathroom,2022,https://boxd.it/yoNI,
17,Neptune Frost,2021,https://boxd.it/oZ04,
18,Piggy,2022,https://boxd.it/w05y,
19,I Didn't See You There,2022,https://boxd.it/yoQi,
20,Three Minutes: A Lengthening,2021,https://boxd.it/wkUw,
