Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-11-25,The Movies That Made Me (2025 edition),,https://boxd.it/QjbNA,Made for my capstone class. Different categories that have stuck out or expanded my knowledge and understanding of what movies can be and achieve.

Position,Name,Year,URL,Description
1,Toy Story,1995,https://boxd.it/29qA,As a kid...
2,The Incredibles,2004,https://boxd.it/1XLm,
3,WALL·E,2008,https://boxd.it/1VEo,
4,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0,
5,Star Wars,1977,https://boxd.it/72s,Initial film love...
6,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,
7,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,
8,Child's Play,1988,https://boxd.it/1VTo,My first R rated stuff...
9,The Terminator,1984,https://boxd.it/2aQY,
10,Sully,2016,https://boxd.it/cD8Q,Getting into serious movies...
11,Arrival,2016,https://boxd.it/aNGk,
12,Darkest Hour,2017,https://boxd.it/dZZa,
13,BlacKkKlansman,2018,https://boxd.it/hxL8,
14,Parasite,2019,https://boxd.it/hTha,Parasite
15,Moonlight,2016,https://boxd.it/d6bE,"Slower, more realistic stuff..."
16,Fish Tank,2009,https://boxd.it/1xBg,
17,Columbus,2017,https://boxd.it/eCuA,
18,Satantango,1994,https://boxd.it/1j9M,Ultra slow and challenging...
19,Memoria,2021,https://boxd.it/iwtE,
20,Tangerine,2015,https://boxd.it/9QRe,"Wait, I can do this too..."
21,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,"European horror, re-wiring what gets a reaction out of me..."
22,Funny Games,1997,https://boxd.it/1WKM,
23,Enter the Void,2009,https://boxd.it/1dy2,Expanding my perception of the movies...
24,The Tree of Life,2011,https://boxd.it/1Zu8,
25,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
26,Beau Is Afraid,2023,https://boxd.it/u2gE,
27,Fargo,1996,https://boxd.it/2aHM,Different approaches to atmosphere / Unhappy Customer influences...
28,Nope,2022,https://boxd.it/sDCe,
29,Mulholland Drive,2001,https://boxd.it/297o,"Don't think, just feel..."
30,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0,Further appreciation of achieving realism...
31,The Celebration,1998,https://boxd.it/2aCM,
32,Faces,1968,https://boxd.it/29Ia,
33,Waiting for the Light to Change,2022,https://boxd.it/CNkk,A few that inspired Temporary...
34,The 400 Blows,1959,https://boxd.it/2b1C,
35,Where Is the Friend's House?,1987,https://boxd.it/ELg,
36,Sherlock Jr.,1924,https://boxd.it/298m,Movies that made me appreciate silent films...
37,The Freshman,1925,https://boxd.it/X5S,
38,Paterson,2016,https://boxd.it/cRk2,"Connecting more to the world around me through nature, photography, art..."
39,Badlands,1973,https://boxd.it/25Fm,Also doubles as expanding how human behavior can be portrayed and provoke thoughts
40,Alice in the Cities,1974,https://boxd.it/27cG,
41,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG,Stuff that I couldn't quite categorize...
42,The Conversation,1974,https://boxd.it/2a38,
43,Lawrence of Arabia,1962,https://boxd.it/2wRE,
44,Punch-Drunk Love,2002,https://boxd.it/20E4,"Finding comfort in the weird... (which also goes in hand with EEAAO and Beau, at this point there's a lot of overlap between categories)"
45,Spirited Away,2001,https://boxd.it/2b4m,
