Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-02-23,The movies that made me,,https://boxd.it/loaLu,Important movies to include in a biography of my life thus far. My experience with each in notes.

Position,Name,Year,URL,Description
1,Toy Story,1995,https://boxd.it/29qA,
2,Cars,2006,https://boxd.it/29ho,
3,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0,
4,WALL·E,2008,https://boxd.it/1VEo,
5,Star Wars,1977,https://boxd.it/72s,
6,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
7,The Avengers,2012,https://boxd.it/1xFW,
8,Child's Play,1988,https://boxd.it/1VTo,"I watched this movie for the first time at a sleepover when I was 10. It was my first R-rated movie, first horror movie, and the first time a movie truly scared me. Suffice it to say, I didn’t sleep terribly well that night and multiple images from the movie stayed with me for months after. After a while, it seemed like only way for me to face my fears was the revisit the movie so it would lose its power and… it did! After that, I watched the rest of the franchise over the following few weeks, and not only was the fear factor gone, but my love of horror was born.<br><br>I never told my parents any of this until four years later, and they were a bit unsettled to know that all this happened, but in the end they were glad that I was finally honest with them. To celebrate, I rewatched this movie with my dad on Halloween in 2017.<br><br>I love this movie. It scared me, it changed me, and I definitely saw it too young, but I wouldn’t be where I am without it. I look back at this movie and the entire franchise with nothing but fondness."
9,The Terminator,1984,https://boxd.it/2aQY,"June 2015 — The first R rated movie I ever watched with my parents, the first movie to really show me the power of mixing genres, and an early influence on the first phase of my filmmaking dreams. I was pretty stunned with this the first time, and it sparked an obsession with the franchise that I still think about today. James Cameron quickly became my biggest heroes as I entered middle school, and was a prominent &nbsp;figure in both my first short films (those that I made with toys, family, and friends) and my earliest pursuit of learning about the art of film."
10,Arrival,2016,https://boxd.it/aNGk,
11,Baby Driver,2017,https://boxd.it/bhF2,
12,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
13,BlacKkKlansman,2018,https://boxd.it/hxL8,
14,Parasite,2019,https://boxd.it/hTha,
15,Moonlight,2016,https://boxd.it/d6bE,
16,There Will Be Blood,2007,https://boxd.it/20Z2,
17,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,
18,Akira,1988,https://boxd.it/2b1i,
19,Enter the Void,2009,https://boxd.it/1dy2,
20,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,"<p>CW: suicide, self-harm</p><p><br>Watched this for the first time at a time in my life when I was severely depressed and constantly questioning my own mortality. The night before I saw this, April 8, was marked by cutting and me venting to my parents about how I felt like I didn't have a place on this earth or in anyone's life anymore. (Take a wild guess which character in this I related to the most) I probably should've gone to a mental institution instantly, but alas... The next day, I saw this movie and it didn't like completely save me, but it gave me a completely new perspective on how I felt about myself and revitalized my hope in the future to get better. It's an incredible genre piece, an absolute filmmaking wonder, a beautiful family drama about queer acceptance and dealing with problematic children, and made me feel like anything is possible.</p><p><br></p><p>After watching this, during a time when I was consistently questioning my life, I didn't have any more suicidal ideations until months later. I have gotten therapy and medications to help with my depression, which is the true solution to mental illness. Not any movie, let alone this movie. But it is incredible that I was able to feel like everything was okay from watching this; it didn't solve all my problems, but it gave me an outlook on life I wouldn't have had otherwise.</p>"
