Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-02-25,The Very Best Teen Life Portrayals I've Seen,,https://boxd.it/lqoZu,"Not ranked. Portrayals of teenage life (specifically socially) that have cut me to the bone.

Suggestions welcome, but I have to have seen the movie before it gets added (don't let that discourage you from commenting though -- I love getting new movie recommendations!)"

Position,Name,Year,URL,Description
1,Kids,1995,https://boxd.it/1YUY,
2,City of God,2002,https://boxd.it/2a2a,
3,Fish Tank,2009,https://boxd.it/1xBg,
4,The 400 Blows,1959,https://boxd.it/2b1C,
5,Pariah,2011,https://boxd.it/2wWk,
6,Akira,1988,https://boxd.it/2b1i,
7,Rushmore,1998,https://boxd.it/1TAO,
8,Y Tu Mamá También,2001,https://boxd.it/28QM,
9,Dazed and Confused,1993,https://boxd.it/1Ylk,
10,Moonlight,2016,https://boxd.it/d6bE,
11,Close,2022,https://boxd.it/y4qa,
12,Spring Breakers,2012,https://boxd.it/421s,
13,Stand by Me,1986,https://boxd.it/2aOe,
14,The Breakfast Club,1985,https://boxd.it/27q4,
15,American Graffiti,1973,https://boxd.it/29us,
