Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-04-20,This Must Be the Place,showdown:location,https://boxd.it/GbgNa,"My favorite films with location titles, for the <a href=""https://letterboxd.com/showdown/this-must-be-the-place/"">Letterboxd showdown</a>. As usual, not solid and only based on where my head was at when this list was created. (last update - April 19, 2025)

Excluding films with fictional places for now but might change that later. These would be included:
<i>The Banshees of Inisherin</i>
<i>Fast Times at Ridgemont High</i>
<i>Jurassic Park</i>
<i>Rushmore</i>"

Position,Name,Year,URL,Description
1,Columbus,2017,https://boxd.it/eCuA,
2,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
3,Badlands,1973,https://boxd.it/25Fm,
4,"Synecdoche, New York",2008,https://boxd.it/23zw,
5,Lawrence of Arabia,1962,https://boxd.it/2wRE,
6,Mulholland Drive,2001,https://boxd.it/297o,
7,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,
8,Chungking Express,1994,https://boxd.it/1UDa,
9,Fargo,1996,https://boxd.it/2aHM,
10,Paris Is Burning,1990,https://boxd.it/1jzg,
11,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,
12,La La Land,2016,https://boxd.it/a5fa,
13,Casablanca,1942,https://boxd.it/2aG0,
14,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
15,The Florida Project,2017,https://boxd.it/dMG0,
16,"Paris, Texas",1984,https://boxd.it/29Ts,
17,Tokyo Godfathers,2003,https://boxd.it/1Qg2,
18,In Bruges,2008,https://boxd.it/20n8,
19,Chinatown,1974,https://boxd.it/29vU,
20,Under the Silver Lake,2018,https://boxd.it/dSAs,
