Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-01-10,Top 25 of 2023,top2023,https://boxd.it/krstq,"Crazy that it's already been 2 years since all this. #1-17 are a pretty definitively solid top 17 of this year, these are the ones that really have stood out to me. #18-25 are unchanged from the last update.

Out of 81 total.

Last update — December 13, 2025"

Position,Name,Year,URL,Description
1,All of Us Strangers,2023,https://boxd.it/Bz3C,
2,Beau Is Afraid,2023,https://boxd.it/u2gE,
3,The Boy and the Heron,2023,https://boxd.it/ipeM,
4,Past Lives,2023,https://boxd.it/oNB8,
5,Anatomy of a Fall,2023,https://boxd.it/yuDE,
6,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
7,The Holdovers,2023,https://boxd.it/vHza,
8,Poor Things,2023,https://boxd.it/tNWU,
9,Oppenheimer,2023,https://boxd.it/wUow,
10,Waiting for the Light to Change,2022,https://boxd.it/CNkk,
11,Perfect Days,2023,https://boxd.it/ATh8,
12,The Taste of Things,2023,https://boxd.it/Arke,
13,The Zone of Interest,2023,https://boxd.it/gJsA,
14,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
15,Barbie,2023,https://boxd.it/bCLK,
16,May December,2023,https://boxd.it/vEE2,
17,Skinamarink,2022,https://boxd.it/ByDO,
18,Dream Scenario,2023,https://boxd.it/v2h0,
19,Bottoms,2023,https://boxd.it/uGf2,
20,Priscilla,2023,https://boxd.it/Cz3k,
21,Talk to Me,2022,https://boxd.it/C6uQ,
22,Shortcomings,2023,https://boxd.it/CvQC,
23,Kokomo City,2023,https://boxd.it/E35s,
24,The Teachers' Lounge,2023,https://boxd.it/BINY,
25,Theater Camp,2023,https://boxd.it/Bfbm,
