Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-03-17,Upcoming films from hyped directors,,https://boxd.it/bul6k,"A list of upcoming films from well-regarded and famous directors. Suggestions welcome, will be consistently updated.

Films with a release date are sorted by that from newest to latest, films without a release date are sorted alphabetically."

Position,Name,Year,URL,Description
1,Stillwater,2021,https://boxd.it/mNPq,"Expected July 30, 2021"
2,Licorice Pizza,2021,https://boxd.it/qTKY,"Expected September 10, 2021"
3,Dune,2021,https://boxd.it/fA7G,"Expected October 1, 2021"
4,The Last Duel,2021,https://boxd.it/mQbe,"Expected October 15, 2021"
5,Cry Macho,2021,https://boxd.it/s9z0,"Expected October 22, 2021"
6,Ghostbusters: Afterlife,2021,https://boxd.it/f4Pw,"Expected November 11, 2021"
7,Nightmare Alley,2021,https://boxd.it/m0HC,"Expected December 3, 2021"
8,West Side Story,2021,https://boxd.it/iwt0,"Expected December 10, 2021"
9,Nope,2022,https://boxd.it/sDCe,"Expected July 22, 2022"
10,Avatar: The Way of Water,2022,https://boxd.it/2E2E,"Expected December 16, 2022"
11,Babylon,2022,https://boxd.it/mM02,"Expected December 25, 2022"
12,Poor Things,2023,https://boxd.it/tNWU,Expected 2022
13,Apollo 10½: A Space Age Childhood,2022,https://boxd.it/oKiM,
14,Barbie,2023,https://boxd.it/bCLK,
15,Don't Look Up,2021,https://boxd.it/o0Hc,
16,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,
17,The Killer,2023,https://boxd.it/u6WE,
18,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
19,"BARDO, False Chronicle of a Handful of Truths",2022,https://boxd.it/pAgy,
20,The Little Mermaid,2023,https://boxd.it/fVum,
21,No Sudden Move,2021,https://boxd.it/o7WS,
22,Parallel Mothers,2021,https://boxd.it/sOP4,
23,The Tender Bar,2021,https://boxd.it/rgLq,
24,Thirteen Lives,2022,https://boxd.it/q7O4,
25,Three Thousand Years of Longing,2022,https://boxd.it/kmoy,
26,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,
27,Mufasa: The Lion King,2024,https://boxd.it/sE9C,
28,The Way of the Wind,,https://boxd.it/mqE0,
29,The Whale,2022,https://boxd.it/tw4c,
