Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-07-24,Wesley Wales Anderson,,https://boxd.it/cP6Hw,"Last update — June 5, 2025

I've been fascinated with Wesley's visual style for as long as I can remember (it started with whenever I watched <i>Mr. Fox</i> for the first time as a kid) and had I really dug into his work a bit earlier than when I did, I think I would hold him in the same regard as someone like Tarantino, Kubrick, or Paul Thomas Anderson (relative to what my tastes were when I was 16).

His ability to develop strong characters primarily from their mannerisms and odd behaviors is truly endearing and very similar to how I get to know people in my own life. He is in full control of every world he creates and I don't want it any other fucking way! I don't think I'll ever dislike one of his films or be anything short of fascinated by what he puts out."

Position,Name,Year,URL,Description
1,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
2,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
3,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
4,Rushmore,1998,https://boxd.it/1TAO,
5,Isle of Dogs,2018,https://boxd.it/dZrW,
6,Moonrise Kingdom,2012,https://boxd.it/2Wng,
7,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,
8,The Phoenician Scheme,2025,https://boxd.it/H0Ca,
9,Asteroid City,2023,https://boxd.it/s3ds,
10,The Darjeeling Limited,2007,https://boxd.it/24as,
11,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,
12,Bottle Rocket,1996,https://boxd.it/1PDa,
