Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-12-04,Yasujiro Ozu Binge,,https://boxd.it/joMSU,

Position,Name,Year,URL,Description
1,"I Was Born, But...",1932,https://boxd.it/1pS4,
2,The Only Son,1936,https://boxd.it/zX2,
3,Late Spring,1949,https://boxd.it/1DkK,
4,Early Summer,1951,https://boxd.it/E4G,
5,Tokyo Story,1953,https://boxd.it/1HuY,
6,Equinox Flower,1958,https://boxd.it/2lkY,
7,Floating Weeds,1959,https://boxd.it/LZu,
8,Good Morning,1959,https://boxd.it/2lkk,
9,Late Autumn,2010,https://boxd.it/3cxm,
10,The End of Summer,1961,https://boxd.it/2lkO,
11,An Autumn Afternoon,1962,https://boxd.it/CUU,
