Date,Content,Comment
2020-07-14,,"PTA wanted the film to be 3+ hours long, so I'm if New Line let him do so, we might've seen more of his parents. But yes, I loved this too!"
2020-07-14,,That's how I feel too; I feel like I'll be drawn back to it in a few months because it's so damn good
2020-07-19,,Glad to see it's not just me
2020-08-02,,Shit you live in the Bahamas?
2020-08-02,,I just googled where he lives lmao. That's still really cool though
2020-08-02,,Yeah I'd imagine it's hard like that for sure
2020-08-02,,Nice fuckin model! *honk* *honk*
2020-08-05,,Yessssssssss
2020-08-09,,My favorite movie :)
2020-08-15,,"I agree with Tommy. The amount of graphic shit you see is what makes it so scary, this generation's Exorcist."
2020-08-21,,"I don't know if I'd want a film about a dressmaking business turned romance to be faster paced than it is personally, but you do you"
2020-08-26,,I mean the movie is only 25% filmed so far
2020-09-29,,"You have the incorrect version of The Special on this list, the synopsis on the film festival website matches this one: letterboxd.com/film/the-special-2020-1/"
2020-11-27,,Yes
2020-12-01,,Almost as good as the Alien3 review!
2020-12-10,,It was? I read Show People was the biggest but I could be wrong
2020-12-10,,"I hadn't heard of this film until I looked it up either. That's interesting to hear though, I'll have to check out Singin' in the Rain soon."
2020-12-25,,I need to give it a second watch for sure
2021-01-09,,I feel you. I also have ADHD and there have been a good number movies I've watched in the last year which I truly try to experience but my brain just ends up going other places... even some really great ones!
2021-02-19,,"Not yet, sadly 😔"
2021-04-10,,You gave Molly's Game a 7/10 too so I wouldn't be so sure
2021-07-24,,Thank you finally someone agrees with me
2021-10-22,,"Finally

Before Yang
Beetlelers
Belslow
Bstartetta
Bergwoman Island
C'moff C'moff
The Card Speller
Director's Cut
Ashella
De Capo
Donkey
Do Hear Down
Crash Your Train
Beach
Encan'tto
Temporaries
The Forehead of Tammy Faye
The Risein
Brave Boulevard 1994, 1978 and 1666
Return
The Hungarian Disrip
Ghostfixers: Still Walking
The Foot of Satan
Happened
A Villain
Kick the Sidewalk
Co-op of Prada
The Huwomans
Peasant Dick
The Queens Coward
Calf
Sea
The First Makeup
First Day out Soslut
Gummy Worm Spaghetti
The Found Son
Malignant
Density
The Macocoa puffs Killings
Medium
Forgotia
Good Dream Expressway
Off the Spell of Four
Perpendicular Fathers
Berlin, 14th Sector
Grosse Papan
Pain
The Weakness of the Cat
Blue Excavator
The Scar: Part II
The Sizzle Sisters
Spencer
Housefly-Woman: Many Ways Homeless
Boysenberry Townhouse
Goose Movie
tock... tock... Gen X
'Til Birth
The Fable of 'n Cheesebeth
What Don't You Taste When You Eat the Ground
The Best Animal out the Moon"
2022-03-27,,This review aged well
2022-04-17,,why do you have two favorites lists now
2022-04-18,,Good list overall but why is The Brown Bunny here
2022-04-28,,"what happened to the rest of the list

also every film i've seen here is a 10 so i approve the lineup"
2022-07-14,,I say this with peace and love -- Melissa does not have very good taste
2023-01-12,,"Thank you Allan, very cool!"
2023-10-19,,You were tweaking??
2024-01-27,,"I don’t know what’s going on but it WILL get better, things will improve. Please talk to people you trust and love and prioritize whatever you need to make yourself healthy and better, whatever that may be. You are more loved and cared about than you know. I’m here if you need to talk, you have me on insta <3"
2024-11-02,,Bad take sadly :(
2025-12-13,,Not predicting It Was Just an Accident?
