Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-02-11,Oscars,,,,,,2020-02-10
2020-09-11,Star War The Third Gathers: Backstroke of the West,2016,,,,youtube,2020-09-10
2020-09-21,President Ye,2020,,5,,youtube,2020-09-20
2020-12-04,Beer Run,2005,,,,,2020-12-03
2021-01-13,I Am Autism,2009,,0.5,,youtube,2021-01-12
2021-04-27,93rd Academy Awards,2021,,,,,2021-04-25
2021-05-02,dddddddddddddddd,,,,,love this movie more than myself,2021-05-01
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,,"amc naperville 16, me time!",2021-09-10
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc naperville 16, w/ dad, w/ mom",2021-09-11
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc naperville 16, me time!",2021-09-30
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc naperville 16, me time!",2021-10-13
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc naperville 16, w/ dad, w/ mom",2021-10-30
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc dine-in yorktown 18, me time!",2021-11-02
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc naperville 16, imax, w/ friends",2021-11-03
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc naperville 16, w/ dad, w/ mom, w/ quinn",2021-11-26
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc river east 21, w/ dad, w/ mom, w/ quinn",2021-11-27
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc naperville 16, me time!",2021-12-08
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc naperville 16, w/ dad, w/ mom, w/ quinn",2021-12-12
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,,2021-12-18
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc naperville 16, w/ dad, w/ mom, w/ quinn",2021-12-19
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc naperville 16, imax, w/ dad, w/ mom, w/ quinn",2021-12-21
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc naperville 16, imax, w/ mom, w/ dad, w/ quinn",2021-12-23
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc dine-in yorktown 18, me time!",2021-12-29
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc naperville 16, w/ dad",2022-01-01
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc river east 21, w/ dad",2022-01-03
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc naperville 16, dolby, w/ dad",2022-01-16
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc naperville 16, w/ dad, w/ mom",2022-01-30
2022-08-31,AMC Theaters. We Make Movies Better.,,,5,Yes,"amc naperville 16, dolby, w/ dad, w/ mom",2022-02-12
2022-09-04,Swept Away,,,5,,,2022-09-03
2024-01-30,WallFlower The Movie,2023,,,,"youtube, at a friend's place, w/ jadyn, w/ carmen",2024-01-29
