Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-02-11,Oscars,,,,,"<i>It's nobody's fault. But they've guaranteed that this will not happen this year because the Academy has switched to the new Iowa Caucus app.</i>

Parasite winning made me incredibly happy, Bong Joon-ho is a fantastic guy. Although I hated Phoenix's speech (also thought Adam Driver should win), thought The Irishman deserved at least one oscar, and I fully think Little Women and Marriage Story got snubbed as well. The performances however were amazing and I loved Chris Rock and Steve Martin's opening.",,2020-02-10
2020-09-11,Star War The Third Gathers: Backstroke of the West,2016,,,,Far far better than Revenge of the Sith.,youtube,2020-09-10
2020-09-21,President Ye,2020,,5,,I stared into the face of God and it was weeping.,youtube,2020-09-20
2020-12-04,Beer Run,2005,,,,"I think more people should acknowledge the fact that entire media outlets just stalk Bradley Pittsburgh's apartment building, waiting for him to go buy beer.



I also don't know why this is on Letterboxd in general, it's just an ad. They'll put anything on here istg.",,2020-12-03
2020-12-10,Manbaby Cries Because He Isn't Added to Discord Chat (Gone Wrong),2020,,5,,I peed,,
2021-01-13,I Am Autism,2009,,0.5,,"As someone with Aspergers, this was appalling and infuriating. I can't believe Cuaron would do something this completely awful, however I have been told that he is supposedly ableist. With that, I have lost all respect for him as a person. There are so many words I could speak against this godforsaken commercial and the people behind it, but all I'm gonna say is this totally pissed me off, triggered me, ruined my goddamn mood...

Fuck you Alfonso Cuaron.",youtube,2021-01-12
2021-03-24,Marvel Cinematic Universe,,,0.5,,"""Not cinema""

- Martin Scorsese",,
2021-04-27,93rd Academy Awards,2021,,,,"So I missed most of the awards due to to work but it sounds like I didn't miss much (aside from Bong giving an award to Chloe Zhao ): ). From what I saw it felt incredibly rushed and no decoration or style was added, making for a very uninteresting ceremony that doesn't really compensate for the fact that it was delayed by 2 months and especially for the fact that 2020 was 2020 (this was even re-iterated in Regina King's opening speech).

Anyways... I got 16 predictions correct so that's pretty cool. I predicted best actor wrong but I'm glad I did since Anthony Hopkins really deserves it. RIP Chadwick but Anthony gave the better performance to be completely honest. Nomadland won big, to the surprise of no one, and I'm very happy Daniel Kaluuya and Youn Yuh-jung received their accolades.

The wins for Soul and most of the techies weren't surprises either, though Mank winning best cinematography over Nomadland feels like a very safe pick, given Nomadland's beauty derives mostly from the environments of the film, while Mank's beauty also comes from the production design, editing and costumes. Sound of Metal was also an interesting choice for editing, as The Father's editing contributes so much to the overall effect of Anthony's mental condition, where Sound of Metal is well edited but nothing out of the ordinary.

Lastly, The Octopus Teacher for best documentary? Really? I'm sure it's a well made movie but it's widely seen as the worst of the nominees from what I've heard (the only nominee I haven't checked out yet so I can't personally say). In a year of representation and social issues from Crip Camp, Collective and Time, this is the option they go with? Seems very out of place and I'm sure I'm not alone in that statement. Although to be fair the Oscars did snub Hoop Dreams from the category entirely years ago and it seems like they rarely pick the representative movies (For Sama and Minding the Gap lost the last two years) so maybe I shouldn't totally be surprised.",,2021-04-25
2021-05-02,dddddddddddddddd,,,,,Riveting. Please watch this when you can.,love this movie more than myself,2021-05-01
2022-03-18,Gangnam style,2012,,5,,"The very definition of New Korean Cinema. Bong Joon-ho, Park Chan-wook and Kim Jee-woon (among many others) would be pleased.",love this movie more than myself,
