Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-01-02,Inception,2010,https://boxd.it/Vla3J,4.5,,"Inception was an original film amidst a time period of dominating sequels and franchises, making it a truly exceptional film, especially during it's initial release. It has some of the best cinematography seen in any movie this millennium, combining witty dialogue, fun action, psychological thrills, dazzling CGI, excellent acting, and compelling characters with heart to go alongside with their intelligence into one, long sci-fi masterpiece that remains one of my favorite movies of the decade. I feel some of the plot was too driven by personal issues, such as Cobb's (Leo DiCaprio) situation with his wife, but that is the only minor flaw I can think of.",,2020-01-01
2020-01-03,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/VtLWd,3,Yes,"This is the clear black sheep of the entire Star Wars franchise. The first in a new trilogy of the classic series disappoints and pleases many for various reasons, and it is often overlooked when Star Wars is talked about in any situation. As Obi-Wan says as the very beginning of the movie, ""I have a bad feeling about this.""

What I see as the main problem with this movie is the plot. It isn't memorable or interesting at all, thanks to the majority of it being taken up by negotiating with the Trade Federation, being every once in a while punctuated by a battle scene or something of the like. It seems to be endlessly setting up different subplots and introducing new characters until the climax at the very end, which is an epic finale, but the other three-quarters of the movie are going to bore the audience.

Another major flaw with this movie is it's dialogue. There are some memorable quotes (such as ""there's always a bigger fish,"" ""I don't care what universe you're from; that's gotta hurt,"" etc.) but it mostly is there to either advance the plot or introduce characters, and isn't engaging or witty in any way. The quotes do make up for it, at the very least, but it really feels like something is missing from it. It just doesn't flow well with the normal style we're used to knowing in Star Wars movies.

Speaking of introducing characters, that is one thing I think The Phantom Menace does well. Whether the characters were likeable or not (as said by C-3PO, ""I find that Jar Jar creature to be a little odd.""), the audience is given a good sense of who they are, what side they are on and how they help make the movie. It is also great to see the origins of some beloved characters seen in later movies, such as R2-D2 and Obi-Wan. By the end of the film, I felt like I knew all the main characters very well, and how they might take part in Attack of the Clones.

The other main thing that this movie does very well is the visuals and cinematography. The Phantom Menace was nominated for 3 Oscars; sound, sound editing, and visual effects. And when watching the movie, it isn't hard to see why. Everything looks so realistic and believable, from the city of Naboo to all the ships and transports used in battles, and especially at the time of release, the CGI was especially outstanding. Those battles at the end are both visually stunning and excellent fun, and the podrace is heartstopping. If there's one thing that the Star Wars movies all excel at, this is it.

Overall, I don't think The Phantom Menace is a bad movie, thanks to it's characters and excellent visual effects. Plus, without it, we would never have the new Star Wars movies we've seen today and in the past few years. However, the plot and dialogue leave a lot to be desired, and could have definitely been improved and had more time put into it during production. Thankfully, in Star Wars today, those aspects are done much better. It shows how much the Star Wars universe has grown and improved over the years.",,2020-01-02
2020-01-03,Avengers: Endgame,2019,https://boxd.it/VwT53,4.5,Yes,"This is the biggest movie of all time, taking over Avatar's nearly decade-long record, so a simple review will not be able to cover everything that takes place in this insane franchise finale.

First off, yes, this is a _great_ movie. So much is packed into the three hour runtime that is to be discussed, but I'll break it down into smaller bits. Getting the slight negatives out of the way, it starts off a little slow; a heartbreaking opening scene which we see Hawkeye's family turn to dust and Iron Man film a depressing message for Pepper, assuming she ever gets it. But thankfully the action gets up and running quickly.

The only other slight negatives don't even knock against the movie itself, they just have to do with the audience's emotions. This can be an very stressful and, for many, very emotional film. We see a few beloved characters die (including Black Widow and, the big one, Iron Man) but they died with honor, and without their brave sacrifice the movie just wouldn't be the same. There is also a happy-tear ending to the film, which we see how Captain America fulfills a promise given to Tony years ago, in honor of his passing.

Now onto the positives. As expected, the characters are extremely well known and the great actors that play them continue to entertain us and we see all of them in their finest hour at different points throughout the film. This is partially thanks to a masterfully written script, being witty and full of memorable quotes, engaging, and best of all, very humorous. While not the film's main selling point, as with a few Marvel movies in the past, this movie packs in quite a few moments where I found myself laughing pretty hard. So that's something else to look forward to.

Something that people were concerned about with this movie, especially after Infinity War, was how good the plot of the movie would be. It isn't the best plot of the Marvel Cinematic Universe movies, but it isn't bad either and gets the job done. This movie incorporates a lot of time travel into it, so thanks to a lot of time jumps through several points in MCU history, it may be confusing to some, so while this could be seen as a flaw, my advice would be to make sure that nothing is distracting you and you give the movie your full undivided attention. Then you should understand it well enough.

Lastly, of course, I have to give a nod to the visual beauty of this movie. This is to be completely expected of Marvel, and sometimes people can take this for granted, which just shows how realism in movies has become a permanent part of Hollywood. Since all Marvel movies have amazing effects and cinematography, I'm not going to bother talking any more about it, other than it really comes in hand with some epic battles, including the final final battle which involves everyone (and I MEAN EVERYONE) and will have anyone that has seen the Marvel movies totally geeking out. You're truly in for a treat.

Avengers: Endgame has built up a very divided reputation since release, with some claiming it to be the best Marvel movie and one of the best movies ever, while some rank it lower in the MCU. I'm happy to say that I'd rank it towards the top; the Russo brothers knocked it out of the park with this one, and when looking back, aside from some minor flaws, this is a truly excellent movie, and a masterpiece. It deserves to be seen by everyone with even a passing interest in doing so.",,2020-01-02
2020-01-04,Avengers: Infinity War,2018,https://boxd.it/VD1wt,3.5,Yes,"Infinity War is the movie every Marvel fan has been waiting for. 10 years earlier, Iron Man was released, kicking off the whole Marvel Cinematic Universe that we know and love today. It's been constantly growing and becoming a more prominent part of what nerds look forward to each year. And this is film is part 1 of the franchise's grand finale. Did it live up to the hype?

Well, to answer simply, yes and no. I think it's a well done movie, in the sense that those who made it did everything they needed to, but I wouldn't quite call it great, on terms of how much the audience will enjoy it. As expected, many beloved characters die, and while many people are going to hate to see a lot of them go, their deaths at least have a reason in the story. I'm talking more about what the characters do to cause the deaths. Many of them go annoyingly far in situations, specifically to the point where we start to like them less, and sometimes their stupid decisions have a much bigger impact than initially thought. The other major thing that will lower the audience's overall view of the movie is the ending which, without spoiling anything, will upset the audience in many ways, being a very negative way to end. Be prepared for that.

So while those negatives are hard to overlook, bumping down my rating to a 3.5, there are, of course, many positives to boot as well. The ending may suck, but the opening is chilling and exciting, kicking things off in spectacular fashion, despite being very dark overall (minor spoiler: there are some deaths right at the start). So while it isn't positive, things jump into action very quickly, which is why I think it's great. And, of course, the characters are very well known and loved by many, all being played by excellent actors, which is always a plus and, in my opinion, the greatest strength in every Marvel movie.

The plot is fairly straightforward, although because it highlights every major superhero, there are several subplots that are happening at the same time, which can be confusing to some, but it isn't terribly hard to follow along with each one. The build-up to the ending battle with Thanos is very dramatic and suspenseful, which was done very well. Along with the plot, as with most Marvel movies, the script is very well done, being witty, entertaining, and full of memorable quotes and a lot of humor that is always sure to keep the audience engaged.

And lastly, of course, the action and stunts are excellently done, coupled with stunning CGI that make Marvel movies some of the best looking, most believable movies in Hollywood today. The cinematography is overall amazing, and I don't feel the need to get into many details, because if you've seen the movie, you know what I'm talking about.

Avengers: Infinity War is a good movie, with many strong points, but because of some major flaws as listed above, I think that Infinity War didn't quite live up to the hype for me. It seems to serve more as a setup to Endgame rather than it's own film, and because of that structure, it doesn't work as well as it might have. But the positives mentioned definitely make it worth watching, especially as one of the major finales of the MCU. Fans will be satisfied with many references to previous movies and cameos as well.",,2020-01-03
2020-01-05,Roma,2018,https://boxd.it/VIq7X,5,,"Roma is very sophisticated film. It was nominated for a whopping 10 Oscars last year, and now that I've had time to sit down and think about I'm starting to see why. At first, I wasn't a huge fan of the movie, and wondered why it received all it's praise, but once you realize the story behind why Roma was made, and how the plot came to be, it all starts to make sense and you see why Oscars were shoved down its throat.

The first thing I said about Roma is how sophisticated it is, and when breaking down everything in this movie, one realizes how complex it is, and to fully understand it's beauty it requires more than one watching. But to keep things short, I'll break it down by each Oscar category that it was nominated for.

Cinematography - This was Roma's first Oscar win, and it's simple to see why. The greyscale screen amplifies the sense of being in Mexico City in the early 70s, and in a way reveals the environment the family had to live with (one which is not as wealthy). The angles it was filmed at manages to keep the main focus on Cleo and the children along with everything going on in the city around them. Director Alfonso Cuarón based his film on a personal experience, as a love letter to someone who watched over him as a child, and I believe he amplified the sense of his living conditions to the best he possibly could have.

Production Design - As said in Cinematography, the filming angles give us a great view of how Cleo and the family she was staying with fit into Mexico City's society during this time, but what really gives us this view is the spectacularly made Mexico City itself. The rundown buildings, old cars and overall mood conveyed by the storytelling doesn't just show us what it was like for Alfonso Cuarón and his family in 1971; it takes us back there to experience it for ourselves. Not many movies can take this journey with their audience, but Roma succeeds in doing so.

Sound Mixing/Editing - While I'm not sure if this part of the movie is Oscar movie, there are some cool effects done with the audio. Some scenes, specifically when we are introduced to the father in his car, the sound moved between each ear on my headphones as I watched, which, in a strange way, engages us in the specific location of the camera, part of the film's immersion style. Otherwise, every sound effect is super realistic which is always good, but I don't know if it's necessarily Oscar nominee material.

Original Screenplay - This was an incredibly well-written film. Of course, I only really heard the movie through the subtitles because it's a Spanish film, but the subtitles still meant that I could know every word that was being said. It's so intelligently written, with humor, heart and power, and really is the main reason why I loved this movie. Whether you're hearing Cleo talk to the children in her care, or if she's talking to her boyfriend Fermin, the emotion and skill put into every word is very clear to the audience, in the context of the situation each character is put in (if that makes sense).

Best Actress/Supporting Actress - This is where the movie shines. Yalitza Aparicio, the actor of Cleo, more than sells the part. I fully see her as this caretaker in Mexico City in 1971. Her emotions are very real through all her struggles, mainly the whole journey through childbirth only to end in stillbirth and how she deals with Fermin's dislike of her expected baby and involvement in the El Halconazo (the large riot, which was real and resulted in 120 deaths). She connected with the children, both as actors and real people in this time, and the way she engages in the plot connects to more than the people in this film. It connects her with the audience as well. All of this adds up to a mindblowing performance, well worthy of the Oscar nomination.

Best Director - As mentioned in previous paragraphs, Alfonso Cuarón based this on a real experience, and it shows. Also previously said, this is a sophisticated movie, the vision of only a mature, experienced filmmaker. The realism and engagement with the audience is second-to-none, and every previous paragraph is a testament to how much he connected Roma to his real life experiences. He absolutely deserved this win; Cuarón did arguably his greatest work with this film.

Lastly, Best Picture - Everything mentioned so far contributes to why Roma is such a masterpiece, so I'll only cover what hasn't been said yet. The plot is so real, and while at some points it seems to be endlessly introducing characters in situations, that's the beauty of it. This is a narrative of a life experience, so everything isn't going to be action-packed, and every event in life isn't going to have a set start or finish. Everything makes sense in the end, and Cleo and the children go through a lot nonetheless, making these specific life experiences worthy of a film adaption. This is purely a beautiful movie; true art that deserved all the Oscar nominations it received. Definitely a 5 star movie that everyone should try to see.",,2020-01-04
2020-01-05,Black Panther,2018,https://boxd.it/VJ1q3,3.5,Yes,"Black Panther was a monumental superhero film. The first ever to be nominated for Best Picture. Alongside that, it also won 3 other Oscars and was nominated for 3 more, a grand total of 7 nominations. Everyone seems to really love this movie, and I have to agree, this is one of the best and one of my personal favorite Marvel movies.",,2020-01-04
2020-01-12,1917,2019,https://boxd.it/WoFOr,5,,"As I was leaving my local theater, we drove by their display of posters, and the one for 1917 caught my attention. Across it was a large quote stating, ""A 2-hour tightrope walk."" This was interesting to me for two reasons. My first thought was, ""That was 2 hours long?"" 1917 is absolutely exhilarating, and one of the most immersive and realistic (despite being very brutal) war movies I've ever seen, to the point where I felt like the 2 hours were much shorter thanks to how fast-paced it was. But that's not a bad thing at all.","amc naperville 16, dolby, w/ owen g",2020-01-12
2020-01-21,Joker,2019,https://boxd.it/XeDHR,4,,"There's a scene about halfway through Joker where he passes under a sign that says 'Don't Forget To Smile,' which he then proceeds to scribble out the 'Forget To' so it just says 'Don't Smile.' This is reminiscent of the mood of both the Joker himself and my mood during the film. I didn't smile once through the whole 2 hours.

I don't mean the above statement in a way that I really hated the movie or anything. I'd like to describe Joker as the amazing movie that people hate watching, in the sense that it was really well done but simply isn't comfortable to sit through (for the average person). Joker was nominated for a whopping 11 Oscars, so I decided to chip in $6 to Amazon Prime so I could watch it again and give a fair review.

DC hasn't been known for making good movies the last few years, with garbage like Suicide Squad, so I'll admit that while a Joker origin story sounded interesting, as most Joker villains have been introduced quite simply in most Batman movies, I didn't have the highest hopes seeing the first trailer. An R rating got my attention, since DC movies can be very dark and violent but all have received PG-13. My first thought was 'a DC movie rated R? Maybe this is something special.' Coming to the theater to see a couple cops posted also really caught me off guard, as to just how adult this movie would be.

Another reason I had to rent it out and watch it again before reviewing it is because the film is so complex, much more than I originally expected. I really felt like a second viewing was in order to give an accurate review, and while it wasn't any more comfortable to watch the second time, it was needed for this writing.

The opening is pretty uncomfortable, getting straight away to showcasing Arthur's life, beginning with his job working as a clown actor, who gets jumped because of his appearance. Even besides random civilians, it also shows how he is treated like shit by his co-workers as well. He then goes to a therapy session, and it is both here and on his train ride home that we are introduced to his mental disorder, causing him to laugh at inappropriate times. It sets the mood of the rest of the film quite well, however, despite being a little hard to watch.

I think that while the opening is essential to describe how I feel about the movie, the rest of the plot will be described by each aspect of the film. Let's continue discussing Arthur, with character development. I don't think it's necessarily bad that the movie pretty much entirely revolves around him, though I do wish that some of the other characters were developed better. All the acting was incredible, especially in the task of being a part of the shittiness of Gotham, reflective of very good directing on the part of Todd Phillips. Despite all this, I would've loved to see some more background on characters like anchorman Murray Franklin, or his friend Sophie.

While the writing didn't do character development many favors, the script was still quite good. I feel parts of it felt a little too vanilla, but for the most part it flowed pretty well, and it really brought out some of the great acting. There are a good number of memorable quotes, especially in the second half of the film when Arthur is really into his transition into the Joker. It really takes us into the society of Gotham as if it were a real city, dealing with the problems in the movie as if they were real. Some of it's a little graphic, and takes our imagination to places we necessarily didn't want to go, but that's what the movie was intended to do.

This brings us into the set design and cinematography. Most of the movie was filmed in New York, and it is done to great effect to appear as the dirty, crime-ridden Gotham City, which is undergoing a garbage strike and a mayor who describes the lower-class as ""clowns,"" starting several riots (SPOILER ALERT: including the large riot at the end, where gangs completely dominate the streets and all hope seems lost, including one thug who kills a young Bruce Wayne's parents. I'd also like to say that while the ending is completely insane, it's villainously majestic and the perfect way to end such a crazy film). While it's a depressing and scary perspective on society, it really takes us there, no questions asked. Despite the bleakness, it is still shot with lots of color, and is visually satisfying (except for when he's stabbing and shooting people). The sound editing/mixing is also very well done, and contributes to the Gotham immersion factor, coupled with a very well crafted soundtrack, with lots of oldies but goodies filling the lineup.

In conclusion, I'd like to restate that this movie is amazingly well done and I hate watching it, because it's hard not to turn away at quite a few points. I wouldn't call it an entertaining film by any stretch, which is the main reason why I took a star off of it's review. The technical bits of this movie are all flawless, and I agree that a lot of those aspects deserve the Oscar nominations they got, but they aren't always easy to appreciate given the incredibly dark context and themes of this movie. It's an origin story that answers a lot of questions about a well-known comic book character. Rather than a movie relating to the DC Superhero Universe, it's more of a commentary on how far we've come in dealing with mental illness and what could happen if that stopped. It's very era-appropriate, which is something I've noticed follows a theme through each Joker. Look back at Jack Nicholson's Joker in the late 80s and 90s; he resembled a terrorist, which was an issue revolving that time period. Now in the 2010s, mental illness is a pressing issue in society, and how we deal with it, including issues such as suicide and depression. I think in that aspect, the character was portrayed masterfully, thanks to the many writers and director Todd Phillips. Just aside from the discomfort and disturbance factor, this is an excellent movie.",,2020-01-20
2020-01-26,Parasite,2019,https://boxd.it/XGu8p,5,,"""Making no plans at all can never be disappointing because they will never fail."" This is a quote spoken by Kim Ki-taek, father of the Kim family towards the end of the film when everything seems hopeless. These words first caught my attention when I heard them in the trailer for the film, but the trailer didn't give me a great sense of what I was getting into, so when I finally got around to seeing this masterpiece, an already memorable quote became so much more of a theme.

The above paragraph may seem cliche for all movies, but the pure humbleness of Kim Ki-taek when he spoke the quote really is the moment that defines the film for me. It's a perfect example of this movie's high praise. Fantastic acting, intelligent dialogue, and excellent sound are just a mere few of several pros of Bong Joon-ho's Parasite.

Parasite tells a story of class inequality, with the Kim family, who is poor and lives in essentially what is a basement, all unemployed and struggling to find a simple wifi signal. Early on, the sense of genius writing is established, with lots of humor just in the first few minutes, and it was immediately evident to me why this movie has been nominated for best original screenplay. The movie is entirely spoken in Korean, with English subtitles, but the fact that me and several others in the theater were chuckling just based off of that shows how well written it is.

Soon after, the son of the Kim family Ki-woo is recommended by his friend Min to tutor a sophomore girl he tutored for a while he studies abroad, leading to their relations with the Park family. Min also gives him a ""scholar's rock"" which is supposed to bring their family wealth. To take up the job, he needs to fake being a college student, which sets up the brilliant plot point of how clever the Kim family truly is. They are amazing con artists, with the daughter photoshopping the college form, Ki-woo hiring his sister (Ki-jeong) as an art teacher for the Park's son Da-song, who she finds out is troubled with potential schizophrenia and fools them by telling them she is an ""art therapist."" She then removes her panties in the Parks' chauffeur, to make it look like he gets funky in Mr. Park's car, causing him to be fired, and hiring their father. They then take advantage of the family caretaker's peach allergy, causing an allergic reaction and convincing her she has TB, causing her to resign, with the mother taking up the position. It's all super entertaining and wildly fun, continuing to show the master work of Joon-ho.

Something else that shows the master work of this scene is the quality cinematography. I'm honestly a little surprised this was a category it wasn't nominated for. The perspectives and color contrast between the Kim's basement and the Park's large mansion are really well done and one of the strong points of the movie. The whole set design of the South Korean neighborhood (which we are never given the name of) is spectacularly realistic, which helps with the immersion factor which I'll mention in greater detail later. And knowing how good this film is, that's high praise. The sound quality is very crisp as well, and while it wasn't up to the quality of something like 1917 or Ford v Ferrari, I appreciate the sound mixing that was done.

The Parks family then leave on a camping trip to celebrate their son's birthday, meaning the Kim family has the house to themselves. They embrace the luxury, all getting drunk and having a good time, and while it doesn't contribute to the plot very much, it at least showcases some good acting. It all takes a strange turn, when the former housekeeper comes by to pick up something she left in the basement, only to reveal that she has been hiding her husband there for years, because they are too poor to live on their own and are hiding from ""loan sharks."" This is what I'd like to call the ""Tarantino Twist,"" because it jumps into a slightly weird vibe while setting up a whole new plot point. She tries to convince Chung-sook (the Kim mother) to let it all go, because she understands what it's like to be poor, but the rest of their family accidentally falls into the basement as well, revealing the whole act they've set up. They then break into pleading each other not to reveal the other's secrets, and it gets pretty humorous, eventually leading to a mini brawl that lasts until the Parks family reveals they are returning home due to a large rainstorm. While minor, this whole reveal is the first point which we feel true suspense, as the whole situation gives off a very unsuspecting and unhinged vibe, a feeling very prominent through the rest of the movie.

This leads to what I feel is the climax, which is the two families fighting to keep their secrets and clean their messes before the Parks get home. Because the housekeeper and her wife are trying to ruin the Kim family's whole act, the Kims have to force them back into the basement by force, which unexpectedly results in the Kim mother shoving the former housekeeper down the basement stairs, which she loses her balance and hits her head on the wall. She later wakes up feeling very dizzy and falls over and dies. It also sets up her husband as the true villain in the whole story, something very fuzzy through most of the film.

After the whole situation settles down, the rest of the family has to hide, which brings us into a scene that, while uncomfortable to watch, weirdly I found to be very well done. Because their camping trip was canceled, the son blatantly takes his tent outside in the rain and sleeps their overnight, prompting the Park parents to sit on the couch, unsuspectingly inches away from where the Kims are hiding. Because both of their kids are away, the Park parents engage in, well... sexual activity. Later in the night, through walkie talkies, their son calls his father saying he can't sleep in his tent, which distracts them and allows the family to escape, only to find their street, and worse yet, their house flooded. Their plumbing is all over the place, and they barely made it out without drowning. Ki-woo brings his scholar's rock, which is going to make a prominent appearance later in the film, and not all for the good. They swim out on an old mattress with a few belongings to a shelter in a gym where they stay for the night, and Ki-woo and his father have a thoughtful conversation, where the quote from the first paragraph is said. It is here again where we have a clear, well-created contrast between the different classes.

Simply, the movie ends with the Park-Kim relationship going down in flames. The Kim father does shopping for the Park family's son's birthday party (or impromptu as they call it), and he is reminded that he is merely a servant, with no real connection. We really start to feel the emotions he is feeling, which is good and shows just how much Bong Joon-ho has immersed us into the world of the movie. As an apology for the way they were treated, at the impromptu, Ki-woo attempts to bring down the scholar's rock to give the housekeeper's husband wealth, but because of his wife's death, he has grown insane, smashing his head into buttons which turn on the lights of the house, attempting to send a morse code out to whoever may see it. Because of this, he tries to strangle Ki-woo with a cord, which causes him to drop the rock. Running up the stairs, but eventually tripping on the wire, the husband makes it up and smashes Ki-woo's head in with the rock twice, and even dropping a glass of some sort of alcoholic drink on it as well. It's very realistic, but also very brutal and super shocking. He then proceeds out to the party with a kitchen knife and stabs Ki-woo's sister in the heart, killing her. While the father tries to save her, the Park son has a seizure after seeing the housekeeper's wife, which was the cause of his schizophrenia. Instead of letting him help his dying daughter, the Park father just demands that he take his son to the hospital, prompting Mr. Kim to stab Mr. Park, another shocking but satisfying scene. The scene ends with Mrs. Kim skewering the housekeeper's husband, where Mr. Kim runs off and hides in the basement to avoid punishment. He stays down there for, what we know, indefinitely, but the movie ends with him sending a morse code to Ki-woo, who survived his head bashing thanks to brain surgery and searches for him. He plans to raise enough money and buy the house so he can free his father.

Joon-ho has spent two hours building bonds between the audience and his characters, thanks to such an intricate and intelligent story with amazing writing and dialogue. This brings me to why the movie is just so good. You can be nominated for several Oscar categories because the certain technical aspects are really good, and those are generally really great movies. But I don't remember the last time that I left a movie theater on the verge of tears. The final scene of the film, in which we see so many characters either meet their ends or let all their anger out, is so shocking to everyone who watches it, because we feel like we really know and have connected personally with the characters. When Ki-woo had his head bashed by the scholar's rock by the insane husband, I cringed and my jaw dropped, because after two hours, I thought he met his unfortunate end because he was trying to do a nice gesture. And when Ki-woo is reading off the letter from his father, even though I was only absorbing it all through the subtitles, it broke my heart to know that their father sacrificed himself for their family's wealth, and that Ki-woo sacrificed his university education and raising a family just to save him from the hidden basement. Thinking about it now as I'm writing nearly brings me to tears. Parasite has one of the largest emotional impacts I've ever felt in a movie, and therefore I'd like to go out on a limb and say it's the best movie of the year.","regal cantera 17, w/ dad",2020-01-25
2020-01-31,"As Above, So Below",2014,https://boxd.it/Y5qEV,3.5,,"Normally, if a female is a main character in a horror movie, she's screaming and running for her life most of the movie, with some obvious exceptions, such as Scream, Alien and Halloween. However, I'd say main character Scarlett Marlowe in As Above, So Below could belong up there with them as well. She is an archaeologist searching to learn more about her history, and does so with bravery, even in the French catacombs.

The best way for me to describe As Above, So Below is a cross between Tomb Raider and Blair Witch Project. The cheap camera footage cinematography and many jump scares combined with an adventure movie feel make for a very entertaining horror thriller. What's even better about it is that it was all filmed in the actual Paris catacombs, so a lot of what the actors are making their way through is the real thing. And instead of lots of fancy special effects, all the scares are low-budget props or scare actors, which is surprisingly effective and works well for the movie. It relies solely on that and great sound editing and acting.

The Rotten Tomatoes rating is an embarrassing 26%, saying it starts of well but descends into cliche horror. So after I was thrilled by the great opening in the Iran caves, I was worried that I would be disappointed. But thankfully, with a good cast of characters who all did very good and took their personalities to heart (including Edwin Hodge who suffered from real claustrophobia) and the unnerving unpredictability, which I don't find in most horror movies I watch these days, I was not disappointed.

The characters are all college students with not much background or introduction (other than Scarlett) but they are likeable nonetheless, with clever personalities and some good writing. While the script is just okay at best, it worked with the overall theme of the movie, with some good lines. They only entered the deep catacombs in the first place thanks to Papillon, the leader of the group who has experience in venturing the Catacombs. It started off a little weird, with a ritual of half-naked women in red and white paint and a strange phone call, but things progressively get more interesting.

I say progressively, because of a main flaw with the movie. It is paced fairly unevenly and the story starts become less and less as the scares start to come. The first half hour is mostly set up, with the next half hour beginning to kick off the last half hour, which is incredibly suspenseful and thrilling. While the last half hour is so relentless it almost makes up for it, I can't look past how there is essentially no story past all the scares.

The twist with the catacombs for the movie is that it somehow knows each character's past and reasons to feel guilt and uses it to torture them the farther down they go. The characters are haunted by a dead brother, dead father, and dead friend in a burning car, all of which lead to demises. While it's not quite clear why this is happening, there wouldn't be much horror in the movie, so I just went along with it. It supplies everything that entails the last half hour, including endless jumpscares and many brutal, graphic deaths with lots of suspense around every corner, making it seem nearly hopeless for the characters. Because of how frightening it gets, I almost feel bad for those who saw it in theaters. The audio editing is very good, which helps too.

As Above, So Below exceeds in many categories but also doesn't in many others. I love the lost-footage cinematography, characters, the fact that it was shot in the actual catacombs, and the insane final half hour. The runtime is only about 93 minutes, and the writers sure as hell packed a lot into that short duration. It was definitely well done technically. But, as said, the lack of a story at the end and uneven pace don't make it one of my favorite horror movies I've ever seen.",,2020-01-29
