Date,Name,Year,Letterboxd URI
2020-03-09,The Shawshank Redemption,1994,https://boxd.it/2aHi
2020-05-09,Hacksaw Ridge,2016,https://boxd.it/azew
2020-05-22,Kick-Ass,2010,https://boxd.it/1zaQ
2020-05-23,Killer of Sheep,1978,https://boxd.it/1rPc
2020-05-23,A Face in the Crowd,1957,https://boxd.it/2lyc
2020-05-23,La Strada,1954,https://boxd.it/2asi
2020-05-23,La Dolce Vita,1960,https://boxd.it/2anC
2020-05-23,Patton,1970,https://boxd.it/1UnQ
2020-05-23,The Train,1964,https://boxd.it/25lm
2020-05-23,Fat City,1972,https://boxd.it/1JnU
2020-05-23,Midnight Cowboy,1969,https://boxd.it/25Hi
2020-05-23,Marathon Man,1976,https://boxd.it/1W4c
2020-05-24,The Young and the Damned,1950,https://boxd.it/29AA
2020-05-24,Black Orpheus,1959,https://boxd.it/11PU
2020-05-24,Home of the Brave,1949,https://boxd.it/3bYG
2020-05-24,Apocalypto,2006,https://boxd.it/28yy
2020-05-24,The Red Shoes,1948,https://boxd.it/1EXI
2020-05-24,Cooley High,1975,https://boxd.it/1c2Y
2020-05-24,I Am Cuba,1964,https://boxd.it/1hUQ
2020-05-24,In the Heat of the Night,1967,https://boxd.it/1VLY
2020-05-24,Touch of Evil,1958,https://boxd.it/28II
2020-05-24,Blue Collar,1978,https://boxd.it/1Nhm
2020-05-24,White Heat,1949,https://boxd.it/1Lw0
2020-05-24,Is Paris Burning?,1966,https://boxd.it/23Vi
2020-05-24,Paisan,1946,https://boxd.it/20ay
2020-05-24,Black Rain,1989,https://boxd.it/5DMs
2020-05-24,Kung Fu Hustle,2004,https://boxd.it/1YBi
2020-05-24,Dirty Pretty Things,2002,https://boxd.it/25mY
2020-05-24,Empire of the Sun,1987,https://boxd.it/1X4i
2020-05-24,Cool Hand Luke,1967,https://boxd.it/29jY
2020-05-24,An American in Paris,1951,https://boxd.it/26kY
2020-05-24,Lust for Life,1956,https://boxd.it/1n8I
2020-05-24,Miracle in Milan,1951,https://boxd.it/UD8
2020-05-24,Dead End,1937,https://boxd.it/1qxG
2020-05-24,Zelig,1983,https://boxd.it/1UOC
2020-05-25,Platoon,1986,https://boxd.it/29BS
2020-05-26,Life Is Beautiful,1997,https://boxd.it/29Wm
2020-05-27,Come and See,1985,https://boxd.it/1w9q
2020-05-29,The King of Comedy,1982,https://boxd.it/2aJS
2020-06-03,Sugar Cane Alley,1983,https://boxd.it/XHM
2020-06-03,Swept Away,1974,https://boxd.it/17cY
