Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-10,Babygirl,2024,https://boxd.it/8oXH3P,3,,,2025-01-04
2025-01-12,The Last Showgirl,2024,https://boxd.it/8r8Tk9,3.5,,,2025-01-11
2025-01-13,Gladiator II,2024,https://boxd.it/8s81BT,3,,,2025-01-12
2025-01-18,The Brutalist,2024,https://boxd.it/8vS12X,4.5,,,2025-01-17
2025-01-25,Presence,2024,https://boxd.it/8B5xL7,2,,,2025-01-24
2025-02-01,Companion,2025,https://boxd.it/8GOOEn,4,,,2025-01-31
2025-03-01,Tropic Thunder,2008,https://boxd.it/8Z71PB,3.5,,,2025-02-28
2025-03-02,The Monkey,2025,https://boxd.it/8ZU5W5,2.5,,,2025-03-01
2025-03-09,Mickey 17,2025,https://boxd.it/93Y9yF,4,,,2025-03-07
2025-03-09,Cure,1997,https://boxd.it/94ugQP,4,,,2025-03-08
2025-03-17,Barry Lyndon,1975,https://boxd.it/99uDYR,3.5,,,2025-03-16
2025-03-22,In the Mood for Love,2000,https://boxd.it/9bLsSb,4,,,2025-03-21
2025-03-22,Sonic the Hedgehog 3,2024,https://boxd.it/9c47jx,,,,2025-03-21
2025-04-06,Hell of a Summer,2023,https://boxd.it/9kAFm7,2.5,,,2025-04-05
2025-04-07,Flow,2024,https://boxd.it/9lkWBv,4.5,,,2025-04-06
2025-04-11,Warfare,2025,https://boxd.it/9nmn1f,3.5,,,2025-04-10
2025-04-13,A Minecraft Movie,2025,https://boxd.it/9oeYAz,2,,,2025-04-12
2025-04-20,The Tree of Life,2011,https://boxd.it/9siWYX,4,,,2025-04-18
2025-04-22,Sinners,2025,https://boxd.it/9tXGnH,3,,,2025-04-20
2025-04-25,Daisies,1966,https://boxd.it/9vRIMZ,4,,,2025-04-24
2025-04-27,Moulin Rouge!,2001,https://boxd.it/9wAGVP,3,,,2025-04-25
2025-05-04,Thunderbolts*,2025,https://boxd.it/9B9e5x,3.5,,,2025-05-03
2025-05-18,Final Destination Bloodlines,2025,https://boxd.it/9ICZOv,3.5,,,2025-05-16
2025-05-22,Final Destination,2000,https://boxd.it/9LuevR,2.5,,,2025-05-21
2025-05-25,Friendship,2024,https://boxd.it/9NjvV9,4,,,2025-05-24
2025-05-29,The Twilight Saga: New Moon,2009,https://boxd.it/9PK4fn,3.5,Yes,,2025-05-27
2025-05-30,Bring Her Back,2025,https://boxd.it/9QyXCr,4.5,,,2025-05-29
2025-06-15,Materialists,2025,https://boxd.it/a0vFe1,4,,,2025-06-14
2025-06-16,The Life of Chuck,2024,https://boxd.it/a10fQ1,3.5,,,2025-06-15
2025-06-17,We're All Going to the World's Fair,2021,https://boxd.it/a1T4Qz,3,,,2025-06-16
2025-06-25,28 Years Later,2025,https://boxd.it/a78JVF,3.5,,,2025-06-24
2025-07-10,F1,2025,https://boxd.it/ahosMX,3.5,,,2025-07-06
2025-07-10,Ghost World,2001,https://boxd.it/ahonTz,4,,,2025-07-09
2025-07-13,Superman,2025,https://boxd.it/ajBATV,4,,,2025-07-12
2025-07-21,Eddington,2025,https://boxd.it/apA8cL,3.5,,,2025-07-19
2025-07-28,10 Things I Hate About You,1999,https://boxd.it/av4gKV,4.5,Yes,,2025-07-26
2025-07-28,The Fantastic 4: First Steps,2025,https://boxd.it/avajhf,3.5,,,2025-07-27
2025-08-15,The Naked Gun,2025,https://boxd.it/aJdRkp,3,,,2025-08-06
2025-08-15,Weapons,2025,https://boxd.it/aJdQl7,4.5,,,2025-08-08
2025-08-22,Weapons,2025,https://boxd.it/aOPv7p,4.5,Yes,,2025-08-15
2025-08-19,Shin Godzilla,2016,https://boxd.it/aMHZ0z,3.5,,,2025-08-18
2025-08-25,Black Swan,2010,https://boxd.it/aR0yph,5,Yes,,2025-08-24
2025-09-02,Caught Stealing,2025,https://boxd.it/aWyEhr,3,,,2025-09-01
2025-09-06,Lost in Translation,2003,https://boxd.it/aYZA41,4,,,2025-09-05
2025-09-07,The Godfather,1972,https://boxd.it/aZBwOv,3.5,,,2025-09-06
2025-09-12,Taxi Driver,1976,https://boxd.it/b2qIK1,4.5,,,2025-09-10
2025-09-13,The Shawshank Redemption,1994,https://boxd.it/b3kH1B,4.5,,,2025-09-12
2025-09-22,Before Sunrise,1995,https://boxd.it/b8Xc2L,4.5,,,2025-09-21
2025-09-24,Before Sunset,2004,https://boxd.it/b9QwHT,4.5,,,2025-09-22
2025-09-27,One Battle After Another,2025,https://boxd.it/bbxKyh,5,,,2025-09-25
2025-10-13,Perfect Blue,1997,https://boxd.it/blZhCF,4,Yes,,2025-09-26
2025-10-13,There Will Be Blood,2007,https://boxd.it/blZdMr,5,,,2025-09-30
2025-10-13,The Smashing Machine,2025,https://boxd.it/blZbr7,3.5,,,2025-10-11
2025-10-13,Coraline,2009,https://boxd.it/blZkrF,5,Yes,,2025-10-12
2025-10-25,The Lighthouse,2019,https://boxd.it/btOmiP,4.5,Yes,,2025-10-24
2025-10-26,Black Phone 2,2025,https://boxd.it/buo5Rv,3,,,2025-10-25
2025-10-31,Bugonia,2025,https://boxd.it/by1YJV,4,,,2025-10-30
2025-11-01,House,1977,https://boxd.it/bySlVJ,3.5,,,2025-10-31
2025-11-15,Die My Love,2025,https://boxd.it/bIv7q7,4,,,2025-11-14
2025-11-16,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/bJ4FN5,2.5,,,2025-11-15
2025-11-18,Spider-Man,2002,https://boxd.it/bKqg3f,,Yes,,2025-11-15
2025-11-18,Frankenstein,2025,https://boxd.it/bKUnXp,4,,,2025-11-17
2025-11-22,"Planes, Trains and Automobiles",1987,https://boxd.it/bNnBSz,4,,,2025-11-21
2025-11-25,Sentimental Value,2025,https://boxd.it/bPHcvN,4,,,2025-11-22
2025-11-25,Wicked: For Good,2025,https://boxd.it/bPHeGj,3,,,2025-11-24
2025-11-26,Dinner in America,2020,https://boxd.it/bQkNP9,3.5,,,2025-11-25
2025-11-28,"Monsters, Inc.",2001,https://boxd.it/bRg4Nj,5,Yes,,2025-11-26
2025-11-28,Monsters University,2013,https://boxd.it/bRg5Ch,3,Yes,,2025-11-26
2025-12-03,Zootopia 2,2025,https://boxd.it/bUYPrf,3.5,,,2025-11-29
2025-12-07,Hamnet,2025,https://boxd.it/bXxM5t,4.5,,,2025-12-06
2025-12-31,Eternity,2025,https://boxd.it/ckASfH,3.5,,,2025-12-08
2025-12-20,Avatar: Fire and Ash,2025,https://boxd.it/c7pZrh,2.5,,,2025-12-18
2025-12-26,Marty Supreme,2025,https://boxd.it/ceWHFf,4.5,,,2025-12-25
2025-12-29,House of Wax,2005,https://boxd.it/chXEQj,3,,,2025-12-27
2026-01-05,Eyes Without a Face,1960,https://boxd.it/csvQAl,4,,,2026-01-04
2026-01-07,Primate,2025,https://boxd.it/cu4L7n,2,,,2026-01-05
2026-01-10,The SpongeBob SquarePants Movie,2004,https://boxd.it/cygfgx,4.5,,,2026-01-09
2026-01-13,Marty Supreme,2025,https://boxd.it/cBYUA9,5,Yes,,2026-01-12
2026-01-19,No Other Choice,2025,https://boxd.it/cHE8eN,4,,,2026-01-17
2026-02-02,28 Years Later: The Bone Temple,2026,https://boxd.it/cX2HMt,3.5,,,2026-01-19
2026-02-02,The Master,2012,https://boxd.it/cX2IUN,4,,,2026-01-24
2026-02-02,Infinite Icon: A Visual Memoir,2026,https://boxd.it/cX2Kmt,,,,2026-02-01
2026-02-16,Send Help,2026,https://boxd.it/d9nXQV,3.5,,,2026-02-02
2026-02-16,The Moment,2026,https://boxd.it/d9o0IF,3.5,,,2026-02-07
2026-02-16,Wuthering Heights,2026,https://boxd.it/d9o2gD,2.5,,,2026-02-13
2026-02-16,Phantom Thread,2017,https://boxd.it/d9o4WL,4,,,2026-02-14
2026-04-05,Nirvanna the Band the Show the Movie,2025,https://boxd.it/dPLRfZ,4,,,2026-02-16
2026-04-05,Silver Linings Playbook,2012,https://boxd.it/dPLURd,4,,,2026-02-22
2026-03-05,La La Land,2016,https://boxd.it/doJOJZ,4,,,2026-03-01
2026-04-05,Pulp Fiction,1994,https://boxd.it/dPLMnJ,4.5,Yes,,2026-03-03
2026-04-05,Hoppers,2026,https://boxd.it/dPLYJd,3.5,,,2026-03-08
2026-04-05,Project Hail Mary,2026,https://boxd.it/dPLKsx,4,,,2026-03-16
2026-04-05,The Drama,2026,https://boxd.it/dPLFUV,4.5,,,2026-04-04
