Date,Name,Year,Letterboxd URI,Rating
2022-01-11,Get Out,2017,https://boxd.it/eOCm,4
2022-01-11,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,3
2022-01-11,Whiplash,2014,https://boxd.it/7bQA,4.5
2022-01-11,Avengers: Infinity War,2018,https://boxd.it/9vEe,3.5
2022-01-11,The Shining,1980,https://boxd.it/29Nu,5
2022-01-11,Gone Girl,2014,https://boxd.it/6hQu,4.5
2022-01-11,Her,2013,https://boxd.it/4O24,4.5
2022-01-11,Spirited Away,2001,https://boxd.it/2b4m,5
2022-01-11,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2022-01-11,Django Unchained,2012,https://boxd.it/2cCk,4.5
2022-01-11,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2022-01-11,Kill Bill: Vol. 1,2003,https://boxd.it/70w,5
2022-01-11,Uncut Gems,2019,https://boxd.it/gXGc,4
2022-01-11,Hereditary,2018,https://boxd.it/hNVe,4.5
2022-01-11,American Psycho,2000,https://boxd.it/28Vs,3.5
2022-01-11,Black Swan,2010,https://boxd.it/Sw0,5
2022-01-11,Moonlight,2016,https://boxd.it/d6bE,4
2022-01-11,Marriage Story,2019,https://boxd.it/hJAw,4
2022-01-11,A Quiet Place,2018,https://boxd.it/fVJQ,2.5
2022-01-11,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,4
2022-01-11,It,2017,https://boxd.it/bC8e,3.5
2022-01-11,The Shape of Water,2017,https://boxd.it/dZ5m,4
2022-01-11,Donnie Darko,2001,https://boxd.it/2b2A,4.5
2022-01-11,Don't Look Up,2021,https://boxd.it/o0Hc,3
2022-01-11,Toy Story,1995,https://boxd.it/29qA,4
2022-01-11,A Clockwork Orange,1971,https://boxd.it/2aVE,4
2022-01-11,The Suicide Squad,2021,https://boxd.it/fw6O,4
2022-01-11,My Neighbor Totoro,1988,https://boxd.it/20eA,4.5
2022-01-11,Moonrise Kingdom,2012,https://boxd.it/2Wng,4.5
2022-01-11,The Lobster,2015,https://boxd.it/7tnw,4
2022-01-11,American Beauty,1999,https://boxd.it/71Y,3.5
2022-01-11,"I, Tonya",2017,https://boxd.it/dzR0,4
2022-01-11,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,3.5
2022-01-11,Requiem for a Dream,2000,https://boxd.it/29VI,5
2022-01-11,The Florida Project,2017,https://boxd.it/dMG0,4.5
2022-01-11,A Star Is Born,2018,https://boxd.it/aXgc,4
2022-01-11,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,4
2022-01-11,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,3.5
2022-01-11,Superbad,2007,https://boxd.it/20hO,4
2022-01-11,mother!,2017,https://boxd.it/dgRU,5
2022-01-11,Halloween,1978,https://boxd.it/2wRu,4
2022-01-11,Coraline,2009,https://boxd.it/1NhQ,5
2022-01-11,Boyhood,2014,https://boxd.it/3178,3
2022-01-11,Clueless,1995,https://boxd.it/1Ygk,4
2022-01-11,Last Night in Soho,2021,https://boxd.it/lbJC,4
2022-01-11,Eighth Grade,2018,https://boxd.it/hDMG,4
2022-01-11,Sorry to Bother You,2018,https://boxd.it/f21E,3.5
2022-01-11,The Queen's Gambit,2020,https://boxd.it/s1Ym,4.5
2022-01-11,Jennifer's Body,2009,https://boxd.it/1Efw,4
2022-01-11,Magnolia,1999,https://boxd.it/2aze,4.5
2022-01-11,Creep,2014,https://boxd.it/7l4c,4
2022-09-04,The Black Phone,2021,https://boxd.it/sqFE,4
2022-09-04,Bullet Train,2022,https://boxd.it/qW26,3
2022-09-04,The Batman,2022,https://boxd.it/eDGs,4.5
2022-09-04,Nope,2022,https://boxd.it/sDCe,4.5
2022-09-04,Bohemian Rhapsody,2018,https://boxd.it/f1TK,3.5
2022-12-24,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2022-12-24,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,1.5
2022-12-24,Top Gun: Maverick,2022,https://boxd.it/cjr4,3.5
2022-12-24,X,2022,https://boxd.it/sxVa,4
2022-12-24,The Northman,2022,https://boxd.it/nK2s,3.5
2022-12-24,Barbarian,2022,https://boxd.it/yohi,5
2022-12-24,Don't Worry Darling,2022,https://boxd.it/mViu,2.5
2022-12-24,Turning Red,2022,https://boxd.it/ipkq,3.5
2022-12-24,Pearl,2022,https://boxd.it/zPbe,4
2022-12-24,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,4
2022-12-24,The Menu,2022,https://boxd.it/lScm,4.5
2022-12-24,Scream,2022,https://boxd.it/o0lg,3.5
2022-12-24,Avatar: The Way of Water,2022,https://boxd.it/2E2E,3
2022-12-24,Jurassic World Dominion,2022,https://boxd.it/ikXW,2
2022-12-24,Lightyear,2022,https://boxd.it/qV1G,2
2022-12-24,Glass Onion,2022,https://boxd.it/oCkK,3.5
2022-12-24,Men,2022,https://boxd.it/tlc0,3.5
2022-12-24,Morbius,2022,https://boxd.it/j978,0.5
2022-12-24,Death on the Nile,2022,https://boxd.it/ifpg,1
2022-12-24,Blonde,2022,https://boxd.it/9AG0,1.5
2022-12-24,TÁR,2022,https://boxd.it/uNIA,4
2022-12-24,Halloween Ends,2022,https://boxd.it/mO8M,2.5
2022-12-24,The Lost City,2022,https://boxd.it/sg0Q,3
2022-12-24,Jackass Forever,2022,https://boxd.it/opUg,3.5
2022-12-24,Kimi,2022,https://boxd.it/u7LW,3.5
2022-12-24,The Whale,2022,https://boxd.it/tw4c,4
2022-12-24,Orphan: First Kill,2022,https://boxd.it/sxZc,2.5
2022-12-24,Bros,2022,https://boxd.it/mJZw,3.5
2022-12-24,Emily the Criminal,2022,https://boxd.it/wBOq,3.5
2022-12-24,Black Widow,2021,https://boxd.it/hWV8,2
2022-12-24,Eternals,2021,https://boxd.it/j36o,2.5
2022-12-24,The Worst Person in the World,2021,https://boxd.it/oyws,4
2022-12-24,Cruella,2021,https://boxd.it/bbKg,3.5
2022-12-24,Spencer,2021,https://boxd.it/qPMG,3.5
2022-12-24,Nightmare Alley,2021,https://boxd.it/m0HC,3.5
2022-12-24,House of Gucci,2021,https://boxd.it/nVkC,3
2022-12-24,Malignant,2021,https://boxd.it/mViE,3.5
2022-12-24,Old,2021,https://boxd.it/npKI,3
2022-12-24,The Lost Daughter,2021,https://boxd.it/kgww,4
2022-12-24,Candyman,2021,https://boxd.it/kHFg,3.5
2022-12-24,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,2.5
2022-12-24,Lamb,2021,https://boxd.it/tFwE,2.5
2022-12-24,The Fallout,2021,https://boxd.it/tViI,3
2022-12-24,Mean Girls,2004,https://boxd.it/1VNg,4.5
2022-12-24,Juno,2007,https://boxd.it/210a,4.5
2022-12-24,Booksmart,2019,https://boxd.it/igNS,4
2022-12-24,Good Will Hunting,1997,https://boxd.it/2ahY,4
2022-12-24,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,4
2022-12-24,Midsommar,2019,https://boxd.it/jhxe,3.5
2022-12-24,Parasite,2019,https://boxd.it/hTha,4.5
2022-12-24,Joker,2019,https://boxd.it/h4cS,3.5
2022-12-24,Knives Out,2019,https://boxd.it/jWEA,3.5
2022-12-24,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2022-12-24,Inception,2010,https://boxd.it/1skk,4
2022-12-24,Soul,2020,https://boxd.it/ioLA,3.5
2023-01-15,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4
2023-01-15,M3GAN,2022,https://boxd.it/jxmG,3.5
2023-01-27,Babylon,2022,https://boxd.it/mM02,3.5
2023-01-27,EO,2022,https://boxd.it/txhc,3.5
2023-02-19,Ice Merchants,2022,https://boxd.it/Arx8,4
2023-03-15,Scream VI,2023,https://boxd.it/zdfW,3.5
2023-03-19,Aftersun,2022,https://boxd.it/Arw0,4
2023-05-10,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,4
2023-05-21,Up,2009,https://boxd.it/1OEc,4.5
2023-05-21,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,2.5
2023-05-21,Evil Dead Rise,2023,https://boxd.it/qIvo,3.5
2023-05-21,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y,2
2023-05-21,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/kiYC,3.5
2023-05-21,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4
