Date,Name,Year,Letterboxd URI
2024-03-29,Valley of the Dolls,1967,https://boxd.it/25QY
2024-03-29,The Neon Demon,2016,https://boxd.it/9AnW
2024-03-29,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2024-03-29,Casablanca,1942,https://boxd.it/2aG0
2024-03-29,Amélie,2001,https://boxd.it/2aUc
2024-03-29,Mulholland Drive,2001,https://boxd.it/297o
2024-03-29,Eraserhead,1977,https://boxd.it/299u
2024-03-29,Punch-Drunk Love,2002,https://boxd.it/20E4
2024-03-29,"Synecdoche, New York",2008,https://boxd.it/23zw
2024-03-29,The Fifth Element,1997,https://boxd.it/71k
2024-03-29,Trainspotting,1996,https://boxd.it/29XY
2024-03-29,Drive,2011,https://boxd.it/IG
2024-03-29,Pride & Prejudice,2005,https://boxd.it/24u8
2024-03-29,Persona,1966,https://boxd.it/29B4
2024-03-29,The Pianist,2002,https://boxd.it/2aqc
2024-03-29,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
2024-03-29,The Killer,2023,https://boxd.it/u6WE
2024-03-29,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk
2024-03-29,The Fly,1986,https://boxd.it/1YIe
2024-03-29,My Own Private Idaho,1991,https://boxd.it/2ak4
2024-03-29,V for Vendetta,2005,https://boxd.it/29Ik
2024-03-29,Breakfast at Tiffany's,1961,https://boxd.it/2aYS
2024-03-29,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw
2024-03-29,Minari,2020,https://boxd.it/mL9M
2024-03-29,Schindler's List,1993,https://boxd.it/2aq2
2024-03-29,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2024-03-29,Arrival,2016,https://boxd.it/aNGk
2024-03-29,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2024-03-29,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2024-03-29,The Favourite,2018,https://boxd.it/d2hI
2024-03-29,Almost Famous,2000,https://boxd.it/29CQ
2024-03-29,Memento,2000,https://boxd.it/2bcK
2024-03-29,Possession,1981,https://boxd.it/1BPm
2024-03-29,Dancer in the Dark,2000,https://boxd.it/71E
2024-03-29,Climax,2018,https://boxd.it/ikvo
2024-03-29,Gummo,1997,https://boxd.it/1H0Y
2024-03-29,The Wrestler,2008,https://boxd.it/1So8
2024-03-29,Full Metal Jacket,1987,https://boxd.it/2a1Q
2024-03-30,Being John Malkovich,1999,https://boxd.it/2ahu
2024-07-15,Pulse,2001,https://boxd.it/1s3y
2024-07-15,Lake Mungo,2008,https://boxd.it/1rWM
2024-07-15,When Evil Lurks,2023,https://boxd.it/rXBe
2024-07-15,Memories of Murder,2003,https://boxd.it/1TSo
2024-09-16,Parachute,2023,https://boxd.it/A0cW
2024-09-20,I Believe in Unicorns,2014,https://boxd.it/7qGA
2024-09-20,White Oleander,2002,https://boxd.it/1UUg
2024-09-20,Ghost,1990,https://boxd.it/2aLE
2024-09-21,Blow,2001,https://boxd.it/24Mm
2024-09-21,Vicky Cristina Barcelona,2008,https://boxd.it/23rW
2024-09-21,Natural Born Killers,1994,https://boxd.it/2aNg
2024-09-21,The Beguiled,2017,https://boxd.it/dZ1k
2024-09-21,To Die For,1995,https://boxd.it/2a5o
2024-09-22,The Outrun,2024,https://boxd.it/txPo
2024-10-14,Nowhere,1997,https://boxd.it/286E
2024-12-09,Ready or Not,2019,https://boxd.it/kOf0
2024-12-09,(500) Days of Summer,2009,https://boxd.it/1EmM
2024-12-09,Memoir of a Snail,2024,https://boxd.it/EgX8
2024-12-09,Hundreds of Beavers,2022,https://boxd.it/CyUM
2024-12-09,Shiva Baby,2020,https://boxd.it/oIv0
2024-12-12,La Haine,1995,https://boxd.it/2as8
2025-01-04,Belladonna of Sadness,1973,https://boxd.it/2q
2025-01-06,Saint Maud,2019,https://boxd.it/l8QA
2025-01-14,Borderline,2025,https://boxd.it/CiXA
2025-01-25,A Ghost Story,2017,https://boxd.it/fb0K
2025-02-02,Ginger Snaps,2000,https://boxd.it/1XEg
2025-02-02,Burlesque,2010,https://boxd.it/Xfo
2025-03-05,Super Dark Times,2017,https://boxd.it/dTle
2025-03-09,Candy,2006,https://boxd.it/24l6
2025-03-09,Prozac Nation,2001,https://boxd.it/1KxG
2025-03-09,Secretary,2002,https://boxd.it/1URc
2025-03-24,Crash,1996,https://boxd.it/29n2
2025-04-02,Paprika,2006,https://boxd.it/23wW
2025-04-19,Badlands,1973,https://boxd.it/25Fm
2025-05-04,Million Dollar Baby,2004,https://boxd.it/2bdI
2025-05-17,Halston,2019,https://boxd.it/kLgu
2025-05-30,Happy-Go-Lucky,2008,https://boxd.it/1W68
2025-08-12,Sugar & Spice,2001,https://boxd.it/1JKa
2025-09-05,Christiane F.,1981,https://boxd.it/1YiA
